text,language
kolget,cebuano
principak teacher,ilocano
malampasan,tagalog
isprí,cebuano
"masputítu, masputítus",cebuano
gumabi,tagalog
búyuk,cebuano
sagasaan,tagalog
dili magawi,cebuano
silinsiyu,cebuano
asendero,tagalog
sorók-sorók,hiligaynon
dahul,cebuano
sabli,cebuano
karmin,cebuano
karot,cebuano
bobong ng yungib o kuweba,tagalog
aligutgut,cebuano
magkagulu-gulo,tagalog
walang-pasubali,tagalog
pambudbud-asin,tagalog
mga beste,cebuano
inseperable,tagalog
fervent,ilocano
pampalakas,tagalog
gilok,cebuano
walang-pananagutan,tagalog
pagsuyop,cebuano
gauran,tagalog
estanyo,tagalog
tayhad,cebuano
darling,cebuano
kakulay,tagalog
paramdam,tagalog
silóng,hiligaynon
reverberate,ilocano
tahan,cebuano
suagin,tagalog
sirena,tagalog
paghisakop,cebuano
pagkakulta,tagalog
bitay,tagalog
balinguynguyin,tagalog
kadaghan,cebuano
gibantog,cebuano
kaltasin,tagalog
weird,ilocano
ripahán,hiligaynon
pagsali,tagalog
hamos,cebuano
balaatan,tagalog
kuwing,cebuano
makapabalaka,cebuano
kakalot,tagalog
dilamíta,cebuano
alba,tagalog
magkahon,tagalog
simbu,cebuano
kurtsítis,cebuano
tagdok,cebuano
tatsihaan,tagalog
átum,cebuano
moretiro,cebuano
tikbà,cebuano
salimbabatáng,hiligaynon
krín,cebuano
retrato,tagalog
hinulaman,cebuano
galawin,tagalog
b,hiligaynon
kasadysan,cebuano
pulitiko,tagalog
ik-ik,cebuano
hanimun,cebuano
pagbansay,cebuano
bangkil,tagalog
andukha,tagalog
Irlandesa,tagalog
magdali-dali,tagalog
bungdul,cebuano
lúka,cebuano
kinahanglan,cebuano
ngamba,tagalog
tseke,cebuano
guyam,tagalog
"tulakì, tulákì, tulakig",cebuano
pagbibigkis,tagalog
prepasyo,tagalog
kanonikal,tagalog
brilyante,tagalog
haw-as,cebuano
departamento,cebuano
iprisinta,tagalog
abot-tingin,tagalog
liguy,cebuano
buong pagmamahal,tagalog
motor,tagalog
magpalakol,tagalog
banggiitan,cebuano
plátap,cebuano
samì,cebuano
paglalatang,tagalog
pagbaguhing-buhay,tagalog
gilis,cebuano
uli,cebuano
túba,cebuano
komunista,tagalog
river,ilocano
lápì,cebuano
itakwil,tagalog
tia,tagalog
umuri,tagalog
kaselanan,tagalog
mapanlibak,tagalog
supot sa itaas,cebuano
niche,ilocano
manunundog,cebuano
gobiyerno,cebuano
tuluyan,tagalog
kasanib,tagalog
puluputan,tagalog
lagaring-pating,tagalog
atomika,tagalog
kusot,tagalog
aswangin,tagalog
phho,cebuano
mistík,cebuano
humadlang,tagalog
choir,ilocano
lampaso,cebuano
pagka-mahabagin,tagalog
ulugtúmon,hiligaynon
sa dili tinuyo,cebuano
wala'y hunong,cebuano
sibol,tagalog
tasa,tagalog
tagapagpatupad,tagalog
kusug,cebuano
tasa,tagalog
sipíyo,hiligaynon
patrlyotismo,cebuano
hatî,hiligaynon
provision,ilocano
bukid,cebuano
krusáda,cebuano
masiyasat,tagalog
balustre,tagalog
magbihis,tagalog
sandalyas,cebuano
nagasilab,cebuano
bagnas,cebuano
sunod ugma,cebuano
siguro,cebuano
paglimugmog,cebuano
paraiso,cebuano
agas,cebuano
ihálas,cebuano
pagpipiket,tagalog
prinsa,tagalog
kennel,ilocano
halabwáan,hiligaynon
tagasara,tagalog
tayom,tagalog
karilagan,tagalog
ka,cebuano
may-kinakalarawan,tagalog
kabataan,cebuano
relasyon,tagalog
lakat-lakat,cebuano
kalub,cebuano
Griego,tagalog
sole,ilocano
diskarga,cebuano
mabaligya,cebuano
gámhon,hiligaynon
bestido,tagalog
bádlit,hiligaynon
tug-an,cebuano
tima,cebuano
linahugay,cebuano
sapút,hiligaynon
diksyunaryo,tagalog
katingalahan,cebuano
góos,hiligaynon
nakapagtataka,tagalog
gákit,cebuano
pamakod,tagalog
yanggak,cebuano
"kalat, kálat",cebuano
baúl-baúl,hiligaynon
sinuksok,tagalog
kasangguniin,tagalog
payramid,cebuano
asnu,cebuano
pinisan,cebuano
pagsamok,cebuano
patik,tagalog
malapat,tagalog
pribyu,tagalog
sugo (mga -),tagalog
magbakas,tagalog
manananggal,cebuano
kagandahang-loob,tagalog
sanib,tagalog
kabatuganan,tagalog
dumalangin,tagalog
gusto,cebuano
lud-anan,cebuano
iregalo,tagalog
hugaw,cebuano
risgu,cebuano
tanghalin,tagalog
bangkong kawayan,tagalog
pantapal,tagalog
kaagad,tagalog
fact,ilocano
sakto,cebuano
manungaw,tagalog
bánban,hiligaynon
taktakun,cebuano
paluningningan,tagalog
bohók,hiligaynon
itatuwa,tagalog
bákas,hiligaynon
palong,cebuano
pos-opis,tagalog
kúub,cebuano
nahalal,tagalog
panuki,cebuano
maskulino,cebuano
tanyag,cebuano
saak,tagalog
indung,cebuano
pahapdiin,tagalog
mangubli,tagalog
sima,tagalog
maikli at tuwiran,tagalog
salírap,cebuano
siya,cebuano
siyasip,tagalog
patient,ilocano
tulisan,tagalog
kuwartero,tagalog
tugas,cebuano
inggreso,tagalog
tíru,cebuano
andamyu,cebuano
síg-id,hiligaynon
pagpipitagan,tagalog
inadlaw,cebuano
saynus,cebuano
karetela,tagalog
kriminal,tagalog
light,ilocano
aku,cebuano
tartanilya,cebuano
sút,cebuano
kaligrapya,tagalog
mangalisag,tagalog
pasalig,cebuano
saliwan,tagalog
kasangkapan,cebuano
dispepsiya,tagalog
miritu,cebuano
rikonosi,tagalog
simang,cebuano
fonógrafo,hiligaynon
makapagpalubha,tagalog
míd,cebuano
pagkulang,cebuano
dayday,cebuano
pitak-pitak,tagalog
balagtásan,cebuano
piskanti,cebuano
million,ilocano
purgatoryo,tagalog
dyakstun,cebuano
hinagap,tagalog
kultúra,cebuano
tagihawatin,tagalog
makapangit,tagalog
kukaok,tagalog
behind,ilocano
bumihag,tagalog
mamultahan,tagalog
buto,tagalog
kaha,cebuano
kurista,cebuano
pagsupsop,tagalog
salikupin,tagalog
bághak,hiligaynon
multimilyunarya,tagalog
mauntog,tagalog
tamburabuy,cebuano
luthang,cebuano
rehasan,tagalog
kisig,tagalog
patag,cebuano
pulpol,cebuano
magkakaanib,tagalog
ulumánon,hiligaynon
kakanluranan,tagalog
laglag,tagalog
maghanda,tagalog
patungod sa gramatika,cebuano
"banhutin, banhuting",cebuano
pananalig,tagalog
ekonomik,tagalog
bakág,hiligaynon
lack,ilocano
desimpektahan,tagalog
maraming mailalaman,tagalog
asada,tagalog
centerpiece,ilocano
Trinidad,tagalog
ilalum sa balay,cebuano
alà,cebuano
paglukso,tagalog
nourishment,ilocano
"piru, píru",cebuano
burúy-an,hiligaynon
kawalang-awa,tagalog
tumapyas,tagalog
eligible,ilocano
saráywan,hiligaynon
tibùtibù,cebuano
walang-sulat,tagalog
huyangô,hiligaynon
hayánghag,hiligaynon
dili limbongan,cebuano
kutsara,tagalog
sipot,tagalog
mirasol,cebuano
nagagamit,tagalog
pyangguy,cebuano
pagsukmag,cebuano
panauhan,tagalog
panahong mississipian,tagalog
pagsala,tagalog
matsismis,tagalog
bísò,hiligaynon
pagbubod,cebuano
buráw,hiligaynon
tiaw,cebuano
sagwan,tagalog
balók,hiligaynon
tug-an,cebuano
bulos,tagalog
mabintog,tagalog
balighot,cebuano
úk,cebuano
pinga,tagalog
prolog,tagalog
patuluy-tuloy,tagalog
false,ilocano
tumapang,tagalog
badúduy,cebuano
bungot,cebuano
"hányan, hányon",hiligaynon
rás,cebuano
palagpak,cebuano
lígù,cebuano
pagkahaling,tagalog
magniebe,tagalog
dikoy,tagalog
nakahandusay,tagalog
paudlutin,tagalog
súpas,cebuano
lawasnong kabaskog,cebuano
hingaláyo,hiligaynon
sablig,cebuano
siko,tagalog
gálì,cebuano
kuti,cebuano
suwiter,tagalog
hospital,ilocano
madyik,cebuano
dyunsun,cebuano
silonganan sa ayroplano,cebuano
tatsa,tagalog
basiyo,cebuano
hakús,hiligaynon
kaputli,cebuano
libog,tagalog
mabakas,tagalog
wangis,tagalog
mamula-mula,tagalog
malagihay,tagalog
bear,ilocano
sakup,cebuano
baróng-baróng,hiligaynon
liwas,tagalog
dato,cebuano
kumalag,tagalog
kalibkib,cebuano
linamnam,tagalog
serbidor,tagalog
mag-inuman,tagalog
páha,cebuano
rematsado,tagalog
militant,tagalog
tumilaok,tagalog
later,ilocano
tayipraytir,cebuano
paglimod,cebuano
iháda,cebuano
bakas ng daliri,cebuano
bastos,tagalog
magtaklis,tagalog
báyang,cebuano
raspa,cebuano
presas,tagalog
plín,cebuano
manya,cebuano
ibid,cebuano
tukma,cebuano
igsusulti,cebuano
sákut,cebuano
pagsagip sa dagat,tagalog
Bulan,tagalog
rebellion,tagalog
hidlayit,cebuano
hayaan sa patay,cebuano
tibawas,cebuano
nahadlok,cebuano
nagkino na,cebuano
sinugo,cebuano
mamutiktik,tagalog
"hábyog, habyogán",hiligaynon
dodong,cebuano
bigla,tagalog
karuwagan,tagalog
píang,cebuano
heave,ilocano
pagkakahuli,tagalog
paglimiin,tagalog
Asia,tagalog
"hóshos, húshus",hiligaynon
duraduhin,tagalog
pampreserba,tagalog
ani,cebuano
makipagtunggalian,tagalog
tinuohan,cebuano
málung,cebuano
mínù,cebuano
biko,tagalog
bunga,cebuano
latuk,cebuano
angkas,cebuano
timidity,ilocano
wangî-wángì,hiligaynon
lain pa,cebuano
pagsinungalingan,tagalog
manggu,cebuano
bag-ohánon,hiligaynon
nuugnuug,cebuano
kaalipnan,tagalog
tabas-itlog,tagalog
kiskis,tagalog
paahan,tagalog
túbù,cebuano
agapayang kabit,tagalog
tag-ulan,tagalog
surutin,tagalog
háwhaw,hiligaynon
pak-ap,cebuano
makapat,tagalog
magtulog,tagalog
giwatay,cebuano
may kahibalo,cebuano
ringkádol,hiligaynon
tubo,cebuano
kurog,cebuano
hinúl-an,hiligaynon
bólò,hiligaynon
nakatanga,tagalog
asul,cebuano
wala'y timik,cebuano
pagtamasahan,tagalog
gúma,cebuano
pamugos,cebuano
pumugot,tagalog
tatasiha,tagalog
prísu,cebuano
kadaghanan,cebuano
glare,ilocano
most,ilocano
pag-abot,cebuano
kinahangian kanunay,cebuano
ispíkir,cebuano
kahinkuran,cebuano
pangmulta,tagalog
dulsera,tagalog
mahitik,tagalog
bútlà,hiligaynon
reséta,hiligaynon
sugyot,cebuano
itum,cebuano
di-tatagusan,tagalog
awhile,ilocano
masingkamuton,cebuano
manlalarong hindi madaya,tagalog
paagi,cebuano
pangikig,tagalog
hanayhay,cebuano
ligis,cebuano
siwit,cebuano
tsíkin pid,cebuano
labag sa batas,cebuano
bugle,ilocano
sanggurút,hiligaynon
kahadlokan,cebuano
tiúruk,cebuano
bakukang,cebuano
silang,cebuano
biyologo,cebuano
liad,cebuano
huminahon,tagalog
úlay,hiligaynon
itin,cebuano
butí,hiligaynon
hanús,hiligaynon
kandul,cebuano
wala'y buhat,cebuano
samót,hiligaynon
tres,cebuano
makasayaw,tagalog
nakapaso,tagalog
pakyas,cebuano
mosaiko,tagalog
Erbiyum,tagalog
stolen,ilocano
hágal,hiligaynon
hangág,hiligaynon
ubo,cebuano
sangbat,cebuano
sibad,tagalog
lanaw,cebuano
kalibugan,cebuano
add,ilocano
pahapaw,tagalog
kuyog,cebuano
kaila,cebuano
sákdag,hiligaynon
sound,ilocano
mapaghadlang,tagalog
gastroenteritis,tagalog
holó-holó,hiligaynon
malimnu,cebuano
butboton,cebuano
malabay,cebuano
eksklamasyon,tagalog
sorbetes,tagalog
línis,cebuano
lumamig,tagalog
stranger,ilocano
pagsunog,cebuano
matang,cebuano
dulse,cebuano
putut,cebuano
malagsik,cebuano
mahangin ang tiyan,tagalog
magwilig,tagalog
magmanyobra,tagalog
ambaw,cebuano
taklay,cebuano
kiriwkiriw,cebuano
pataba,tagalog
patak,cebuano
putol,cebuano
bítàw,cebuano
perseverance,ilocano
puwi-,cebuano
úk-uk,hiligaynon
inay,cebuano
isiwalat,tagalog
impakto,tagalog
buútan,cebuano
kaulong,tagalog
magsalita nang masama,tagalog
sumpákil,hiligaynon
hinulma,tagalog
data,tagalog
pagpanayaman,tagalog
púti,cebuano
itim na laba,tagalog
magandang-asal,tagalog
kawali,tagalog
ulop,tagalog
dagpì,cebuano
bumagting,tagalog
tonto,cebuano
humaba,tagalog
ilun-ílun,cebuano
matabunan,tagalog
nakikita,cebuano
panggarantiya,tagalog
piliwad,tagalog
hinaráya,hiligaynon
niknik,tagalog
kabangisan,cebuano
mahatungod sa lungsod,cebuano
kabarit,cebuano
saramayón,hiligaynon
lumad,cebuano
ni-,cebuano
masabon,tagalog
para,tagalog
sasak,tagalog
binánhaw,hiligaynon
ang kaantusan,cebuano
pito,cebuano
pagguho,cebuano
kunan,tagalog
huád,hiligaynon
kasaulogan,cebuano
tulos,cebuano
human,cebuano
súngkà,hiligaynon
kahilwasan,cebuano
scrub,ilocano
bitik,cebuano
magsaliwa,tagalog
katuyutan,tagalog
hiro postal,tagalog
apaw,tagalog
rúyo,hiligaynon
prinsipal,cebuano
ireto,tagalog
baybayin,tagalog
lavatory,ilocano
pagluib,cebuano
therefore,ilocano
sakmata,tagalog
talcum,tagalog
lakdaw,tagalog
laban,tagalog
kasado,tagalog
pagpapairal,cebuano
nananaig,tagalog
lumuklok,tagalog
busawan,cebuano
butang,cebuano
pagdali,cebuano
natutugma,tagalog
masigabong palakpakan,tagalog
dili lahwan,cebuano
pagriritiro,tagalog
sukad niadto,cebuano
simaron,tagalog
adlaw-adlaw,cebuano
sagol,cebuano
lupak,cebuano
magwalang-halaga,tagalog
pagtami,tagalog
trabilirs tri,cebuano
huyamì,cebuano
tindahan,cebuano
nabal,tagalog
gamátuy,cebuano
tapunan,tagalog
lumalangyaw,cebuano
kamote,cebuano
obserbasyon,cebuano
ítu,cebuano
dali,cebuano
pasgong,cebuano
ulaw,cebuano
salaulain,tagalog
limatik,tagalog
kalakip,tagalog
pagkaisport,tagalog
binatóbató,hiligaynon
ilarawan nang labis,tagalog
kala,tagalog
bursigi,tagalog
itaxi,tagalog
himúngot,hiligaynon
ari,tagalog
demostrador,tagalog
parasyut,tagalog
tugbang,cebuano
"ragkót, rágkot",hiligaynon
laud,ilocano
prenuhan,tagalog
istampa,tagalog
limlim,tagalog
súgkay,hiligaynon
protest,ilocano
gunggung,cebuano
tapyoka,cebuano
tubluk,cebuano
tagabayan,tagalog
sugal,cebuano
masiraan ng isip,tagalog
magtaksi,tagalog
dulong,cebuano
kapatagan,cebuano
luminang,tagalog
kunhud,cebuano
baptisteryo,tagalog
sampiyad,cebuano
pagiging libre,tagalog
palindayag,tagalog
anunsiyohan,cebuano
kapeteriya,cebuano
madalagon,cebuano
Mabuhay!,tagalog
sina,cebuano
bitik,cebuano
pagtangis,tagalog
alingkawas,cebuano
angkupan,tagalog
robot,tagalog
makabatik,tagalog
buang,cebuano
kagud,cebuano
dapuwa,tagalog
kasilag,cebuano
magpreno,tagalog
dukù,cebuano
banka-bangkaan,tagalog
kamagwangan,cebuano
kapain,tagalog
nagahangal,cebuano
palis,cebuano
sawu-,cebuano
mapakialam,tagalog
himatayin,tagalog
siwsiw,cebuano
pag-agaw,tagalog
dayag,cebuano
siyentipiko,tagalog
dili pagod,cebuano
paniwala,tagalog
istorya,cebuano
partisiyun,cebuano
"bihìbihì, bihihì",cebuano
malisud,cebuano
kumirot,tagalog
malat,tagalog
kilom-kilom,cebuano
sakup,cebuano
midaug,cebuano
pagsulinga,cebuano
kaluasyan,tagalog
istetoskopyo,tagalog
gunitanan sa ganghaan,cebuano
mapukanon,cebuano
ulíbhay,hiligaynon
grave,ilocano
pagpapahangin,tagalog
paglaruan,tagalog
pag-ig-ig,tagalog
magkatulungan,tagalog
matahapon,cebuano
pagbuot,cebuano
noise,ilocano
hinánuk,cebuano
kalawasan,cebuano
hamóy,hiligaynon
sa una,tagalog
langbù,cebuano
basa,cebuano
kalagkag,tagalog
karatula,tagalog
dagway,cebuano
sulít-súlit,hiligaynon
panahunon,cebuano
malinis,cebuano
tagilma,cebuano
pútuk,cebuano
prupisúra,cebuano
tunlud,cebuano
inding,cebuano
bukog,cebuano
ponograpo,cebuano
sa mga bata,cebuano
balun-balunan,tagalog
kultado,tagalog
ibalibang,tagalog
kapunongan sa mga babaye,cebuano
nag-angat,cebuano
magtuwid,tagalog
paglayas,tagalog
sa lapok,cebuano
sabado,cebuano
apdo,tagalog
lamoy,cebuano
pag-ubog,cebuano
refrain,ilocano
pagpagikan,cebuano
pilian,cebuano
siccessful,ilocano
birang,tagalog
pag-indak,tagalog
bakud,cebuano
waylay,ilocano
dukdok,cebuano
makalimutin,cebuano
"gámsa, gámson, etc.",hiligaynon
hingaway,cebuano
compatriot,ilocano
mamaho,tagalog
sulálum,hiligaynon
bugtik,cebuano
gratipikasyón,hiligaynon
kupot,cebuano
iglap,tagalog
langyaw,cebuano
pagpapha,cebuano
"bikang, bíkang",cebuano
baytamins,cebuano
panukdulan,tagalog
pasaklolo,tagalog
uma,cebuano
mapagtiisan,tagalog
bágtas,hiligaynon
nakatibong,tagalog
bat-ólan,hiligaynon
pitlag,tagalog
sundalo,cebuano
bungi,tagalog
balatián,hiligaynon
dogmatiko,tagalog
isadambana,tagalog
yedra,tagalog
pagpuyo,cebuano
ipaglinis,tagalog
makasasala,cebuano
kakaw,tagalog
walang-mali,tagalog
bulíru,cebuano
pagtahak,tagalog
makatandog,cebuano
haylu,cebuano
súnyod,hiligaynon
sabi-sabihan,tagalog
utaw-útaw,cebuano
mahugaw,cebuano
itad-itad,cebuano
lugo,tagalog
hara,cebuano
suki,cebuano
susyu,cebuano
damit-pansayaw,tagalog
Biyernes,tagalog
damasko,tagalog
bagyu bins,cebuano
marriageable,ilocano
balítang,cebuano
butangero,tagalog
kindi,cebuano
pigsang-daga,tagalog
tabirís,hiligaynon
esperyensya,tagalog
bakul,cebuano
hantungan,tagalog
paninigarilyo,tagalog
sámpal,hiligaynon
panundot,tagalog
guise,ilocano
sásing,cebuano
pagsamsam,tagalog
attractive,ilocano
basabasa,cebuano
badung,cebuano
linsa,cebuano
pabusabos,tagalog
kára,cebuano
pagsadya,tagalog
tambaúlì,cebuano
kabos kaayo,cebuano
mahimong pabayaron,cebuano
búlwag,hiligaynon
matampok,tagalog
tumagas,tagalog
sugung,cebuano
mumho,cebuano
wala sa panahon,tagalog
itambad,tagalog
gipalig-on,cebuano
gayan,tagalog
pagkurit,cebuano
gara,tagalog
pagsusot,cebuano
bangkilas,tagalog
cucumber,ilocano
mag-ihit,tagalog
bágyo,hiligaynon
umugud-ugod,tagalog
pagtugot,cebuano
campaign,ilocano
sinutíl,hiligaynon
istampa,cebuano
jump,ilocano
Kumpisal,tagalog
maong,tagalog
tuwiran,tagalog
maghimog,cebuano
"halabúab, halabú-ab",hiligaynon
pagkatapos,tagalog
libak,tagalog
believe,ilocano
salip-it,cebuano
balos,cebuano
lukon,cebuano
sa ubang adlaw,cebuano
panglungkab,cebuano
managaytay,tagalog
tuos,tagalog
sosyalismo,tagalog
layang,tagalog
kulang,cebuano
gutgutin,tagalog
klaro,cebuano
usik,cebuano
liwat,cebuano
pagsugot,cebuano
delegate,ilocano
panghalip na pananong,tagalog
búd,cebuano
solókton,hiligaynon
termodaynamiko,tagalog
wala'y utlanan,cebuano
iparinig,tagalog
taspukan,cebuano
tinai,cebuano
kinaluoy,cebuano
sundalo,tagalog
pislayit,cebuano
translate,ilocano
bun-ug,cebuano
salpukan,tagalog
pagbabago,tagalog
magpangulugi,tagalog
kumpis,tagalog
kilala,cebuano
ikatulig,tagalog
bugnut,cebuano
sakatihan,tagalog
rinigar,cebuano
katipon,cebuano
pinulongan,cebuano
kálids,cebuano
uwígik,cebuano
kalagyo,tagalog
guwantes,tagalog
yúnke,hiligaynon
nahimong,cebuano
pagkabirhen,tagalog
seguro,tagalog
bunton,tagalog
mapahitas-on,cebuano
kapitol,tagalog
salugsugin,tagalog
umug,cebuano
gimat,cebuano
kanunisar,cebuano
ehekutibo,tagalog
paghukas,cebuano
sungáb,hiligaynon
lansakin,tagalog
bibíg,hiligaynon
umuko,tagalog
linolyum,tagalog
paghukom nga wala'y sala,cebuano
kuyáig,cebuano
tibi,tagalog
masupiton sa balaod,cebuano
piruk,cebuano
napakabait,tagalog
botílya,hiligaynon
pasurayin,tagalog
zebra,ilocano
nakabibiyak,tagalog
pupol,tagalog
busog pag-ayo,cebuano
hiwis,tagalog
kuha agi sa limbong,cebuano
generate,ilocano
silin,cebuano
prisintu,cebuano
dalan nga hagip-ot,cebuano
wala'y hunong,cebuano
pagsugyot,cebuano
kawas kon,cebuano
luntian,tagalog
ganito,tagalog
tigas,cebuano
tsipun,cebuano
kulongon,cebuano
kisaw,tagalog
talirúngan,cebuano
batok sa ataki,cebuano
gúhak,hiligaynon
akostiks,tagalog
tugtog sa agoniyas,cebuano
namula,cebuano
paagi,cebuano
rat,ilocano
ambil,tagalog
ebaporada,tagalog
mag-alikot,tagalog
paggilit,tagalog
tropa,tagalog
pagtingub,cebuano
buki,cebuano
weaver,ilocano
salúd,hiligaynon
paráwu,cebuano
hinaló,hiligaynon
aláyun,cebuano
íkug,cebuano
litiliti,cebuano
dagil,cebuano
pamilihan ng sapi,tagalog
palabas sa hapon,cebuano
pag-urong,tagalog
tambasakan,cebuano
ugút,hiligaynon
ubos,cebuano
tunob,cebuano
hámtak,hiligaynon
goóm-góom,hiligaynon
desordenado,tagalog
walang-bawa,tagalog
talungan,cebuano
pagtraiduran,tagalog
pag-iyak,tagalog
gumbol,cebuano
úba,hiligaynon
mánu,cebuano
pagpisa,tagalog
selyo,cebuano
waswit,cebuano
moksog tawo,cebuano
hugot,tagalog
glaring,ilocano
kî,cebuano
lílung,cebuano
balísung,cebuano
langutngot,tagalog
binhi,cebuano
tuwatwa,tagalog
kabilkabil,cebuano
paglapok,cebuano
madanihon,cebuano
sa gawi rito,tagalog
pagkaliyo,tagalog
saklang,tagalog
tun-ug,cebuano
belyako,tagalog
tambalanan,cebuano
mainip,tagalog
lagutum,cebuano
magsalig,cebuano
pakikisangkot,tagalog
dram,tagalog
kalamita,tagalog
katigasan,tagalog
matirahan,tagalog
gidagat,cebuano
natan-awan,cebuano
ataki,cebuano
leap,ilocano
di-pagkaangkop,tagalog
lilok,cebuano
kahoy,cebuano
garungin,tagalog
siro,cebuano
sagap,tagalog
típu,cebuano
pabasahin,tagalog
marawak,tagalog
bastánte,hiligaynon
uphag,cebuano
pulaynas,cebuano
yàyà,cebuano
bakóko,hiligaynon
sudáng-sudáng,hiligaynon
rilikaryu,cebuano
pakita,cebuano
sakub,cebuano
kuyamoy sa tiil,cebuano
kasalmotan,cebuano
imbento,tagalog
dakila,tagalog
instruksyon,tagalog
umahan,cebuano
hánluk,hiligaynon
kibídu,cebuano
lubong,cebuano
kinatumyan,cebuano
pagtunggalian,tagalog
pamunuan,tagalog
kahigan,tagalog
tigpahibalo,cebuano
plangka,cebuano
dulang,cebuano
mabination,cebuano
kamayingking,cebuano
wala'y kahusay,cebuano
magkatulad,tagalog
pagkuha,cebuano
pagikpik,tagalog
asir,cebuano
mag-ahon,tagalog
salig,cebuano
residence,ilocano
sábdan,hiligaynon
remata,tagalog
inutangan,cebuano
sospetsa,tagalog
mapanghalina,tagalog
dyakpat,cebuano
makalipay,cebuano
hakhak,cebuano
kinsay,cebuano
kaalam,cebuano
gumamela,tagalog
paghigugma,cebuano
unlan,cebuano
may-simetria,tagalog
arrow,ilocano
dumdum,cebuano
sintà,cebuano
corner,ilocano
madapit,tagalog
uling,cebuano
búngot,hiligaynon
pag-undot,tagalog
anis,cebuano
bayanan,cebuano
hundred,ilocano
kalabasa,cebuano
kumubkob,tagalog
tinghad,tagalog
nakararaan,tagalog
armi,cebuano
duroha,cebuano
patyanay,cebuano
ousted,ilocano
bálay,hiligaynon
riprisintasiyun,cebuano
tanyag,cebuano
bukidnon,cebuano
líap,cebuano
pagtudla,tagalog
pahagibisin,tagalog
rutin,tagalog
lugabung,cebuano
katkat,tagalog
wala'y gidapigan,cebuano
tumong,cebuano
kamuntik na,tagalog
occur,ilocano
manunuhid,cebuano
liskug,cebuano
babae,cebuano
naging,tagalog
aktris,tagalog
pabandehahan,tagalog
gamay nga bato,cebuano
nasal,ilocano
magbagong-buhay,tagalog
endoso,tagalog
pandamdam,tagalog
mapakadkad,tagalog
tagapagsanggalang,tagalog
ang kamub-on,cebuano
lawig,cebuano
lumustay,tagalog
mirísi,cebuano
pagbanlag,tagalog
yusyus,cebuano
umakap,tagalog
cool,ilocano
milyunaryo,tagalog
halakhak,tagalog
paambagan,tagalog
rádyo,hiligaynon
ingkargáda,cebuano
tahip,tagalog
pansaka,tagalog
gapugapu,cebuano
galít,hiligaynon
súsi,hiligaynon
pintakasi,tagalog
gabhut,cebuano
diseksyon,tagalog
kapitbahayan,tagalog
karig,tagalog
pagmantsa,cebuano
igsi,tagalog
magpalaba,tagalog
pilm,cebuano
damdamin,tagalog
tablado,cebuano
sinumbungánay,hiligaynon
lumang tugtogin,cebuano
asuntu,cebuano
malabutang,cebuano
dili utokan,cebuano
resaytal,tagalog
gabnut,cebuano
baklasin,tagalog
abugáda,cebuano
linggu-linggo,tagalog
sumuba,tagalog
kahilawan,tagalog
kahambal-hambal,tagalog
maglagutbot,cebuano
pareho,cebuano
wala damha,cebuano
kutay,cebuano
miserabel,ilocano
kakanin,tagalog
