letter,word,definition,dialect,sentiment
b,babaúgon,"Foul, rotten, spoilt (of eggs, etc.; see báog). ",hiligaynon,
b,bábay,"(B) Used only of, or amongst, females: Friend, playmate, constant companion, bosom-friend, intimate; to be friends, or constant companions. Nagabábay or nagababayánay silá. They are very intimate or constantly together. (The relative term for males is akíd, atíd, idól). ",hiligaynon,positive
b,babáye,"Woman, female. Idô nga babáye. A bitch. Karnéro nga babáye. Ewe. Kabáyo nga babáye. Mare. Ang mga babáye mapígaw. Women are weak. Dáw babáye siá. He is like a woman i.e. fickle, unmanly, etc. (babáe id.). ",hiligaynon,positive
b,babayén-on,"Effeminate, womanish, feminine in a depreciative sense. Ang mga laláki nga babayén-on sing batásan talamayón. Effeminate men are contemptible. ",hiligaynon,
b,babayhána,"Woman, female (familiar or even contemptuous). (see babáe, babáknit, mabáknit). ",hiligaynon,
b,babáylan,"Sorcerer, wizard, magician, one versed in superstitious practices. Also used as a verb. Ginbabaylanán sang babáylan ang masakít nga bátà. The sorcerer practised his art or performed his enchantments over the sick child. Ginpababaylanán sang ilóy ang íya masakít nga bátà. The mother got a conjurer to perform his superstitious rites over her sick baby. Ang babáylan kon magbinabáylan maíhaw sing manók ukón báboy kag mapatíkpátik sa pínggan. When the conjurer performs his superstitious rites he kills a chicken or pig and repeatedly strikes a plate. Nakakáon siá sing báboy nga binabaylanán. He ate some pork that had been subjected to superstitious rites. ",hiligaynon,negative
b,bábha,"A large rent or hole, a gaping wound, gash; to make a gash or rent. May bábha ang likód níya, kay ginlabô ni Fuláno. He has a gaping wound on the back, for he received a gash from N.N. Ginbábha níya ang báyò ko. He tore a large hole in my jacket. Ginbabhaán níya ang íya likód. He made a gaping wound in his back. Ibábha sa likód níya ang ímo binángon. Give him a gash on the back with your bolo. (see wáng-wang). ",hiligaynon,negative
b,báboy,"Pig, swine, pork. Giníhaw níla ang báboy nga pinatámbok. They killed the fattened pig. Makaúyon gid siá sang báboy. He likes to eat pork very much. (see bináboy-piggish, swinish). ",hiligaynon,negative
b,babóy-babóy,"A kind of blackish vermin that is often found on trees, underneath stones and the like; an oniscus, slater, wood-louse, sow-bug. ",hiligaynon,positive
b,báda,"(Sp. barra) An iron bar, crowbar; an iron dibble. (see bára id.). ",hiligaynon,
b,badáho,(Sp. badajo) The clapper of a bell. ,hiligaynon,
b,badáng,"Accustomed, inured, experienced, trained, used to. (bádang; see anád, batíd). ",hiligaynon,
b,bádang,"To practise, inure, train, accustom to, make used to. Nabádang na siá sa pagtabakô, pag-inúm sing bíno, paghámbal sing ininglés, etc. He is now accustomed to smoke, to drink wine, to speak English, etc. Nabadángan ko na iníng lugár, iníng mga buluhatón, etc. I am now used to this place, to this kind of work, etc. Ipabádang mo siá sa pagsáut sa kay Fulána. Let her learn to dance under N.N.'s instruction. Nagsutíl ang bátà, kay walâ sing nabadángan ang pagkastígo sang íya ilóy. The child turned out badly, because her mother had no method in punishing her. (see ánad, hánas). ",hiligaynon,
b,bádbad,"To wind up, to put on a reel; to unravel, disentangle, solve, clear up. Badbará (-adá) ang bunáng. Wind the yarn on a reel. Ibádbad akó ánay siníng bunáng. Kindly wind up this yarn for me. Makabádbad ka siní? Can you solve this? Can you translate it or clear it up? Badbarí (-adí) sing diótay iníng isá ka labág nga bunáng. Unwind a small part of this hank of yarn. Put a small part of this hank of yarn on the reeling-machine. ",hiligaynon,positive
b,badbadán,"Reeling-machine, a wheel for winding up or unwinding yarn, thread or the like; a reel, spool, bobbin. ",hiligaynon,positive
b,badbarán,(H) See badbadán id. ,hiligaynon,
b,bádhà,"(B) Fear, awe, dread; fear mingled with respect or reverence; to influence by fear, reverence or respect, to awe. Walâ gid siá sing ginabádhà. He is not afraid of anything or anybody. (see hádluk, sapák, bálhot, banâ, panagubáli). ",hiligaynon,negative
b,"badiáng, bádiang","A tropical plant with very large leaves. Daw badiáng ang dulúnggan níya. His ears are as large as badiang leaves, a saying applied to one who likes to be praised. ",hiligaynon,positive
b,badiáw,"A kind of bird; the golden oriole, loriot. ",hiligaynon,positive
b,"badiáw, bádiaw","Light yellow; to be or become light yellow. Ang íya bestído nga dalág sádto ánay nagbadiáw na. Her dark yellow frock has turned light yellow. Nabadiawán akó siníng hénero. This cloth has a too light yellow colour for me. (see dalág-a darker yellow, orange-yellow). ",hiligaynon,negative
b,badiáwkíaw,"A kind of bird, whose name is suggestive of its colour and cry. (see badiáwtingíg). ",hiligaynon,
b,badiáwtingíg,"A kind of bird, whose name suggests both its yellow colour and its cry. (see badiáwkíaw). ",hiligaynon,
b,badidáy,"Lullaby; girl, sweetheart, darling (used humorously). ",hiligaynon,positive
b,badidóy,"See badidáy. Also: boy, young man, lover, sweetheart. ",hiligaynon,
b,badíl,"A fire-arm, musket, rifle; to shoot with a fire-arm; to beat, drub, thrash, strike, swinge. Badilá siá. Shoot him. Give him a thrashing. Ibadíl ang búldok mo. Shoot off your revolver. Ginbadíl níya ang buyóng. He shot the brigand. Dî mo siá pagbadilón sing támà. Don't beat him too much. (see lúthang, lámpus, bálbal, lámba, bákol, badíl is probably derived from the Spanish ""barril""). ",hiligaynon,
b,bádlak,"To sparkle, shine, glisten, glitter, flash, twinkle. (see sídlak, sílak, sílì, ínggat, igpát-ígpat, kipát-kípat). ",hiligaynon,
b,bádlan,"From balúd for baludán. To be caught-, overrun-, overtaken-, struck-, washed-, by waves. Nabádlan siá. He was caught in a storm. He was overtaken-, detained-, delayed-, by a flood or bad weather. ""Daw ginabádlan siá"" means: He is in a great hurry, (as if running for his life before pursuing waves, or the like). ",hiligaynon,negative
b,bádlis,"Anointment, unction; the sacrament of Extreme Unction; to anoint, salve, treat with an unguent; to administer Extreme Unction. Badlisí siá. Anoint him. Pabadlisí siá. Have him anointed. Pabadlisán mo ang masakít nga táo. Have Extreme Unction administered to the sick man. Ibádlis inâ sa íya. Anoint him with that. (see híso, hídhid, pálhit, háplas, etc.). ",hiligaynon,negative
b,bádlit,"A line, stroke, sign or mark with a pencil, pen or the like; to line, sign, mark with a stroke of the pen, brush, etc. Badlitá or badlití ang papél sang ímo plúma. Mark the paper with a stroke of your pen. Ibádlit ang lápis sa káhoy. Mark the wood with the pencil. Iníng papél nabadlitán sing tátlo ka kúris. This paper has been marked with three strokes. Dílì mo pag-ipabádlit ang papél sa mga bátà. Don't permit the children to make lines on the paper. Indì mo siá pagpabadlitón sang papél. Do not allow him to make lines on the paper. Anhon mo kon amó inâ ang bádlit sang pálad mo? What can you do, if such is the streak in your fate? Ang íya mga kílay dáw binádlit sang isá ka tigduág. Her eyebrows are (were) like the strokes of a painter's brush. (see kúris, kúrit, kurít, kúdlit, etc.). ",hiligaynon,positive
b,bádlò,Phlegm. May bádlò siá pírme. He is constantly troubled with phlegm. ,hiligaynon,negative
b,bádlon,A kind of fish. ,hiligaynon,
b,bádlong,"To point out a fault or mistake, to correct, expostulate with. Badlongá siá. Correct him. Indì siá magpabádlong. He does not listen to corrections or admonitions, (see túdlò, básol-to reprimand, etc. is a much stronger term than bádlong). ",hiligaynon,negative
b,badloón,"Pertaining to phlegm, full of phlegm, troubled with phlegm, phlegmatic. ",hiligaynon,negative
b,bádù,"Banquet, feast, entertainment, social gathering, celebration. (see tábad). ",hiligaynon,
b,bádwan,"From the obsolete baló. See nabádwan-inkling, understanding. ",hiligaynon,negative
b,badyáng,See badiáng id. ,hiligaynon,
b,badyáw,See badiáw id. ,hiligaynon,
b,bág-ang,"Grinder, molar tooth, double tooth. (see ángkod, etc.). ",hiligaynon,
b,bág-as,"The scar of a cut; pock-marks, the pits of smallpox; to trim or dress by cutting off small pieces, to raze mounds. Bag-así ang káhoy sang dáldag. Dress the wood with the adze. Ibág-as ang wásay sa káhoy. Use the hatchet to trim the wood. Nagsaláma na ang plása, kay nabag-asán ang mga boklódbóklod kag natampokán ang mga limpásong. The public square is level now, for the mounds have been razed and the holes filled up. May bág-as ang íya nawóng. His face is marked (pitted) with small-pox. (see bás-bas). ",hiligaynon,negative
b,bag-asón,"Scarred, marked, pitted, pertaining to smallpox, pock-marked. (see butihón, hanggaón). ",hiligaynon,
b,bág-id,"To rub, strike, as a match, to rub two pieces of bamboo, etc. together in order to make fire. Bag-irá (-idá) ang pósporo. Strike the match. Bag-irí ang káha sang pósporo. Strike the match against the box. Bag-irí ang kawáyan túbtub nga magkaláyo (magkalayó). Rub the bamboo till it takes fire. ",hiligaynon,
b,bag-ídan,A match; any contrivance to make fire by friction. (bág-id). ,hiligaynon,
b,bag-íran,See bag-ídan id. ,hiligaynon,
b,bág-o,"New, novel, fresh; recent, late, modern, just out, recently; to make new, to renew. Bág-o gid iníng kálò ko. This hat of mine is quite new. Bág-o pa lang siá magabút. He has just arrived. Bág-o pa lang silá malúmbus. They have left only a short while ago. Bag-ohá ang kodál. Renew the fence. Iníng kawáyan ibág-o ko sa kodál. This bamboo I'll utilize in renewing the fence. ",hiligaynon,positive
b,bág-od,"To rub two stones together, to crush or pulverize, between two stones or against a stone. Ginabag-orán ang bató nga bukáy sing binókbok nga bukáy túbtub nga magpíno kag ihínis sa ngípon. The crushed white stone is rubbed between two white stones till it becomes fine powder, and can be used to clean the teeth with. Ang tayóbong ginabág-od sa bató kon unawón. The tayobong-root is rubbed against a stone to rid the pulp of juice. Ibág-od mo ang tayóbong sa bató. Rub the tayobong-roots against a stone. ",hiligaynon,negative
b,bag-ódan,"(B) Stone against which something is rubbed or crushed to powder; a millstone, grindstone. (see bag-óran). ",hiligaynon,negative
b,bag-óhan,"New, novel, fresh, inexperienced, green, green-horn; modern, new-fangled. (see bág-o). ",hiligaynon,
b,bag-ohánon,See bag-óhan. Also: A person of modern times; a modernist. ,hiligaynon,positive
b,bag-óran,(H) See bag-ódan id. ,hiligaynon,
b,bagâ,"(B) Quarrel, dispute, squabble, words, high words, altercation, bickering; to quarrel, wrangle, fall out, squabble, have words with, etc. Ang mga bátà nagabagâ. The boys are quarrelling. May ginbagâ akó kahápon. I had a quarrel with somebody yesterday. Ngáa man nga ginbagâ mo si Hosé? Why did you quarrel with José? Ginbagâ ko siá, kay kinúhà níya ang ákon kasíng. I quarrelled with him, because he had taken my spinning-top. Indì mo siá pagbagaón tungúd siníng diótay nga butáng. Don't pick a quarrel with him for this small matter. Pabagaá si Andrés kag si Hosé. Make Andrew and José quarrel with each other. Ipabagâ si Hosé sa kay Andrés. Make José pick a quarrel with Andrew. (see súay, baísbáis). ",hiligaynon,negative
b,bága,"A live coal, glowing cinder, burning piece of charcoal; also verb: to light. ",hiligaynon,positive
b,bagâ,The lungs. ,hiligaynon,negative
b,bagá-bagá,"A dish, particularly of small sun-dried fish, roasted in a pan containing live coals; to roast fish in live coals. Bagábagahá ang tabagák. Roast the tabagák-fish in a pan filled with live coals. Ang ámon súd-an kaína balingón nga binagábagá. The side-dish of our last meal consisted of sun-dried fish roasted in a pan with live coals. (see bága). ",hiligaynon,negative
b,bagá-bága,Dim. of bága. May bagá-bága pa sa idálum sang abó? Are there still any live coals under the ashes? ,hiligaynon,
b,"bagâ-bágà, bagâ-bagâ","(B) Dim. and Freq. of bagâ. To quarrel or fight a little, to have a tiff, to bandy words. Iníng mga magasawá pírme gid lang nagabagâbágà sa íla baláy. This married pair are always disagreeing at home. (see suáysúay). ",hiligaynon,negative
b,bagáas,"A kind of weed, very injurious to rice-crops. ",hiligaynon,negative
b,bagahán,"Brazier, an open pan for burning wood or coal. (bága). ",hiligaynon,negative
b,bagákay,"A kind of very light bamboo, smaller even than that called bóloò. ",hiligaynon,positive
b,bagáng,"(B) Five centavos, a five-centavo piece, nickel, penny. (see bakód, sinkóhon). ",hiligaynon,positive
b,bagáng,"To warm, to heat, make red-hot. Ginbagáng sang manugsálsal ang salsálon. The smith made the iron red-hot. Nabagáng na ang gánga. The roasting-pot is hot. Bagangá ánay ang gánga sa walâ pa ikáw magsánlag sang maís. Heat the roasting-pot first before you roast the corn. Ang gúgma nagabagáng sang íya tagiposóon. Love warms his heart. Ibagáng akó ánay sing isá ka nahót nga salsálon. Kindly make a piece of iron red-hot for me. Bagangí akó sing gánga, kay magasánlag akó sing maís. Heat a roasting-pot for me, for I am going to roast some corn. Ginabagáng siá. He is getting hot, i.e. he has fever, as a forerunner of some serious disease like smallpox, measles, etc. ",hiligaynon,positive
b,bagángan,"A kind of rhinoceros beetle that is very injurious to coconut plantations, etc.; a leaf-miner. ",hiligaynon,negative
b,bagáni,"A heroic deed, heroism. ",hiligaynon,positive
b,baganíhan,Hero; heroic. ,hiligaynon,
b,bagáso,"(Sp. bagazo) Fruit-peel pressed dry, especially sugar-cane crushed and deprived of its juice, bagasse. (see siápò). ",hiligaynon,negative
b,bágat,A kind of ghost believed in by the superstitious. It is supposed to appear in various strange shapes. ,hiligaynon,positive
b,bagát,"A long slender pole of bamboo, bólò, bagákay or the like. ",hiligaynon,
b,bagát-bagát,A centipede that is considerably larger than the ordinary talimbabága. ,hiligaynon,
b,bagátnan,The South. (see habagátnan). ,hiligaynon,
b,bagatnánon,"Southern, situated in the South. (see habagatnánon). ",hiligaynon,
b,bagáy,"Harmony, symmetry, melodiousness; tuned, harmonious. Iníng sísta dílì bagáy or iníng sísta walâ sing bagáy. This guitar is not tuned. Ang piáno ni Fuláno dílì na bagáy, kay dúgay na nga walâ pagbagáya. The piano of N.N. is now out of tune, because it has not been tuned for a long time. (see libágon-out of tune; unharmonious, flat). ",hiligaynon,
b,bágay,"Manner, method, kind, class, way; fit, proper, suitable, adapted; to fit, adapt, tune, harmonize. Bagáya ang mga kwérdas. Tune the strings. Ibágay akó sang ákon gitára. Kindly tune my guitar. Dílì bágay sa ímo iníng kálò. This hat does not fit you. This hat does not suit you. Duhá ka bágay ang pagpangurús, hímpit kag láktud. There are two ways of making the sign of the cross, the complete and the short one. Ang salâ may duhá ka bágay, mortál kag beniál. There are two kinds of sins, mortal and venial. Himósi siá sing pagkáon nga bágay sa isá ka dumulúaw nga dunggánon. Prepare some food for him fit to be placed before an honoured visitor. Bagáyi ang ímo mánggad kag kaálam sing maáyo nga batásan. Cultivate a demeanour in keeping with your wealth and knowledge or learning. (see ángay, ányò, ígò, síbò). ",hiligaynon,positive
b,bágay sa,"Concerning, referring to, with regard or reference to, with respect to. Ibálik ko na ang ákon hámbal bágay sa--. I'll now come back (return) to say a few things more concerning--. Ang íya pagkáhas bágay sa paglápas sang kasogoán--. His audacity with regard to violating (breaking) the law--. (see nahanungúd, nahatungúd). ",hiligaynon,positive
b,bágay sa,"Concerning, referring to, with regard or reference to, with respect to. Ibálik ko na ang ákon hámbal bágay sa--. I'll now come back (return) to say a few things more concerning--. Ang íya pagkáhas bágay sa paglápas sang kasogoán--. His audacity with regard to violating (breaking) the law--. (see nahanungúd, nahatungúd). ",hiligaynon,positive
b,bagáybay,"The neck-feathers of a cock. (see kuyús, láwi, búlbul). ",hiligaynon,
b,bagéu,"Spoilt, rotten, decayed, putrid, tainted (of foodstuffs); to get spoilt, etc. (of food-stuffs). Nagbagéu ang ísdà, kán-on, tinóla, etc. The fish, rice, vegetable dish, etc. spoiled. Indì mo pagpabageuón (pagpabagewón) ang ísdà. Do not allow the fish to go rotten. (see pán-os, báng-og). ",hiligaynon,negative
b,bagéw,See bagéu. ,hiligaynon,
b,bághak,"Stupid, silly; dull, backward. (see bulúk, pákok, kagúng). ",hiligaynon,negative
b,bághot,"To cut off a piece at a time of the suák, that is, the coconut flower in order to get tubâ. Baghotí ang suák. Cut off a piece of the suák. Ibághot akó sang suák. Kindly tap the suák for me. May lubí ikáw nga saráng mabaghotán? Have you any coconut-palms that can be tapped for tubâ? Hóo, ápang índì akó magpabághot sinâ, kay buót ko himúslan ang kópras. Yes, but I will not allow them to be tapped, for I wish to utilize the copra. Ipabághot mo sa ákon or pabaghotán mo sa ákon iníng napúlò ka púnò nga lubí mo. Let me tap for tubâ these ten of your coconut-palms. ",hiligaynon,
b,bagíing,"(B) Cheek, the side of the face. (see písngi). ",hiligaynon,
b,baginás,"A trail, footpath, track, (see bánas, dalán-dálan, alágyan). ",hiligaynon,
b,bágio,"Typhoon, cyclone, tornado, tempest, hurricane, storm, wind with heavy rain; to be stormy, to blow or rage (of a typhoon). Nagabágio ang kalibútan. A typhoon is raging or a hurricane is blowing (over the earth). Nabagiohán kamí sa bapór. We were caught by a hurricane on board the steamer. Naálsa na ang ikaduhá nga tándà, kay magabágio, konó. The second storm-signal has been raised, for a hurricane is approaching, they say. ",hiligaynon,negative
b,bagís,"A shark; a greedy, artful fellow, a sharper, shark, cheat, crook. (see kúgtong). ",hiligaynon,negative
b,bagít,"Uninjured, unscathed, untouched; to escape uninjured, to be unharmed or unscathed, to come away free or untouched. Indì ka makabagít. You will not be able to escape unharmed. Diín ka man makabagít sa ákon? Where can you escape me? Bagít! Missed! Not hit! Bagít siá. He is untouched. This expression is often used in games, where the main point consists in an agility or adroitness in obtaining one's object without being touched or hit by the opposing party. Dirí lang sa ámon bánwa walâ gid sing makabagít sa íya sa paghámpang sang ahedrés. Here in our town there is certainly no one that can beat him at chess. (see luás). ",hiligaynon,negative
b,bágkos,"Belt, girth, girdle, cincture. See wágkos, wáklos, páha. ",hiligaynon,
b,báglot,"To gnash one's teeth. See bágrot id. Even in Hiligáynon ""bágrot"" is more commonly used than báglot. ",hiligaynon,
b,bágnas,"Nearly ripe; to be nearly ripe, approach ripeness, particularly said of plums and the like. Nagbágnas na or bágnas na ang serigwélas. The plums are now nearly ripe. Nabagnasán na ang serigwélas. The fruit is ripening on the plum trees. ",hiligaynon,
b,bágnos,"To strip, split, separate fibre (of hemp, etc.). Bagnosí ang lánot. Strip the hemp. (see kigí). ",hiligaynon,
b,bagô,"Will, head, soul, brain. Walâ gid inâ sa bagô ko. That never entered my head. Kaúyon ang bagô níya sa umá, kay nagtámbok siá dídto. He likes to live at the farm, for he got fat there. (see bángog, bagól). ",hiligaynon,positive
b,bagó-bagó,"The string, line, cord of a fishing rod. (see hapón, tigdawán, tigáwnan). ",hiligaynon,
b,bagódbod,A dish of rice-flour mixed with sugar and coconut meat. (see alopí). ,hiligaynon,
b,bagók,"Rotten, putrid; old, useless; dull, stupid; to be or become rotten, etc. (see gabúk, garók, dunút, bagót, balót, gubát, pákok, kagúng, kalóng). ",hiligaynon,negative
b,bagókbok,"A shower of rain; to fall in showers, to rain heavily. Kon kís-a sa hinálì lang nagabagókbok ang ulán. Now and then there is a sudden heavy shower of rain. (see búnok, bókbok, pókpok). ",hiligaynon,negative
b,bágol,"A game with stones played by children. The principal object is to hit certain marked stones with other stones thrown from a distance or dropped from the hand; to play ""bágol"". ",hiligaynon,negative
b,bagól,"The skull; any skull-like vessel, as e.g. the rough shell of a coconut opened slightly at the top and used for cleaning purposes. (If the coconut-shell is scraped smooth, it is called ""hungút""); brain, mind, head, soul. Butangí sing bagól ang túmba. Place a skull on the catafalque. Walâ gid inâ sa bagól ko. That never entered my head, never disturbed my thoughts, never bothered or troubled me. (see bagô, bángog, úlo, panumdúman). ",hiligaynon,negative
b,bágol,"To strike with the head, to strike or knock heads together, to push head against head. Nagabagoláy silá. They are butting or striking head against head. Ginabágol níla ang íla úlo. They are knocking their heads together. (see pókol). ",hiligaynon,negative
b,bagólbol,"To crowd upon each other, to follow one upon another in quick succession, applied to persons, undertakings, troubles, difficulties, etc. Nagabagólbol gid ang mga táo sa simbáhan. The people in church are very crowded. Nagabagólbol-or-nagabinagólbol ang ákon mga buluhatón, kalisúd, etc. My duties, troubles, etc. are following one upon another without interruption. (see abák-abák, abút-abút:, surumbálì, lininggóhot, linggóhot, ulúkad, (úkad). ",hiligaynon,
b,bagón,"(Sp. vagón) Wagon, railway waggon. ",hiligaynon,
b,bagónbon,"Alluvial sediment, soft mire, slime, mud deposited by flowing water. Binagonbonán sang subâ ang binangon. The river buried the bolo under mud-or-covered the bolo with sand. (see búnbun). ",hiligaynon,positive
b,bagóngon,A kind of sea-snail. ,hiligaynon,
b,bagóong,A kind of sea-snail. (see bagóngon). ,hiligaynon,
b,bagóong,"Pickled fish, pickles, fish steeped in brine or pickle. (see ginamús). ",hiligaynon,
b,bagót,"(B) Rotten, foul, spoilt; old, useless, worn out. (see balót, barót). ",hiligaynon,negative
b,bagotálos,"(B) Young and tender leaves of tobacco, bananas, etc. ",hiligaynon,positive
b,bagótbot,A kind of vine or creeper. ,hiligaynon,
b,bágras,"A scratch, slight injury to the skin. Ang íya guyá may bágras-or-nabagrasán. His face is scratched. (see bág-as). ",hiligaynon,negative
b,bágrong,"A dull, heavy sound, a drone, hum, boom, toll; to emit a dull or heavy sound, to drone, hum, boom, toll, as a large bell; to hoot (of a steamer). Nagabágrong ang linggánay. The bell is tolling. (see sigábung, hágung, hagúnghung). ",hiligaynon,negative
b,bágrot,"To gnash one's teeth, to grind the teeth, to strike or dash the teeth together in anger or pain. Ang yáwà nagabágrot. The devil gnashes his teeth. Indì mo akó pagbagrotán. Do not gnash your teeth at me. Bagrotá lang ang ngípon mo. Just grind your teeth. Ang amó nga balítà nagpabágrot sa íya sa dakû nga kaákig. That news made him gnash his teeth in great anger. (see báglot, which, however, is seldom used). ",hiligaynon,negative
b,bágsang,"To strike edge against edge. Indì nínyo pagbagsangón ang ínyo mga binángon. Dont strike your boloes together, edge against edge. ",hiligaynon,negative
b,bágsat,"Bug, bed-bug; to be-infested with bugs,-buggy. Binagsatán iníng kátre. This bed is full of bugs. (see báksat id.). ",hiligaynon,
b,bagsatón,"Pertaining to bugs, buggy, full of bugs. (see baksatón id.). ",hiligaynon,
b,bágtas,"To leave the water, to lie on wet or muddy ground near the water's edge, said especially of some fishes like the haroán-a sort of mud-eel. Gindakúp námon ang haroán, kay nagbágtas. We caught the haroán-fish, for it had left the water. ",hiligaynon,negative
b,bágtì,"To be or get public. The simple bágtì is ordinarily not used. See pabágtì-to publish, make public or known. ",hiligaynon,
b,bágtik,"To harden and get brittle, as dry mud and the like. Nagbágtik ang lúnang. The mud has hardened. Nabagtikán sía sing lúnang sa íya mga panápton. Some mud got dry and hard on his clothes. Nagbágtik ang kalámay sa kaláhà. The sugar in the pan is overdone i.e. has dried and hardened to the point of emitting a smell of scorching or burning. ",hiligaynon,negative
b,bágting,"Bell, tocsin; the ringing of a bell; to ring a bell, to sound the tocsin. May kampanáryo silá, ápang waláy bágting. They have a belfry, but no bells. Waláy bágting kaína sang ága. This morning there was no ringing of bells. Ibágting or bagtingá ang linggánay. Ring the bell. Ginbágting níya ang bágting nga dakû. He rang the big bell. Bagtingí ang bulunyágan. Ring the bell for the baptism or for the one to be baptized. Ibágting akó ánay sang orasyón. Ring the Angelus for me, please. Pabagtingán, konó, sang panínoy ang mga kalasálon sing tátlo ka basál. The godfather, it is rumoured, will have three peals of bells rung in honour of the marriage couple. (see linggánay, básal, basál, repíke, rimáti, púrut). ",hiligaynon,
b,bágtis,"A kind of mud-eel, living in rivers and fields, especially rice-fields. (see haroán). ",hiligaynon,
b,bágtol,"To beat, strike a drum or the like. Bagtolá ang bómbo. Strike or beat the drum. Ibágtol sa bómbo iníng pedáso nga kawáyan. Use this piece of bamboo to beat the drum with. Bagtolí ang mga músiko sang bómbo, agúd magtípon. Beat the drum for the musicians to gather. ",hiligaynon,negative
