text,language
kalabanga,tagalog
baliskad,cebuano
sipilyo,tagalog
kulapulan,tagalog
dumi,tagalog
plásis,cebuano
makipagbaka,tagalog
usang lalaki,tagalog
dagtum,cebuano
makapinon,cebuano
kagugkog,tagalog
suringót,hiligaynon
bátang,hiligaynon
kaang,tagalog
lohika,tagalog
paharapin,tagalog
paglaban,tagalog
kubos,cebuano
maligawgaw,tagalog
sayál,hiligaynon
neutral,ilocano
molinilyo ng kape,tagalog
kapkapin,tagalog
ang mananapaw sa welga,cebuano
sumakit,tagalog
bag,ilocano
syentista,cebuano
haliya,cebuano
kalookan,tagalog
kípì,cebuano
tabakalíra,cebuano
mahimong palapdon,cebuano
duhat,tagalog
sulasod,tagalog
lagyo,cebuano
kawalang-giliw,tagalog
sumala sa,cebuano
garámpà,hiligaynon
gipangandoy,cebuano
kahakog,cebuano
bangko ng dugo,tagalog
sintábu,cebuano
attend,ilocano
sustinir,cebuano
mikanismu,cebuano
galakin,tagalog
pildi,cebuano
maygawa,tagalog
magkamalay-tao,tagalog
mikrupunu,cebuano
ante-sala,tagalog
bakawan,cebuano
maglagot,cebuano
sáksak,hiligaynon
bingaw,cebuano
byulin,cebuano
pag-uwi,tagalog
kahangalan,tagalog
lahì,cebuano
Duminggu,cebuano
nawawala,tagalog
idamay,tagalog
diwaanon,cebuano
maghuhuni,cebuano
sistéma,hiligaynon
batong,cebuano
salamánka,hiligaynon
kumalbit,tagalog
suweldo,cebuano
katapusan,cebuano
kahibawo,cebuano
senyor,cebuano
madilaabon,cebuano
manlalaro,tagalog
enkuwentro,tagalog
ampiyun,cebuano
mag-utos,tagalog
pagkakaingay,tagalog
padronin,tagalog
upus,cebuano
tipuso,cebuano
bagá-bága,hiligaynon
buhong,tagalog
handa na,tagalog
súdyà,hiligaynon
dili hinlo,cebuano
di-tumitigil,tagalog
katorse ang panuigon sa pagkalalaki ug dose sa pagkababaye,cebuano
abogado nga tikasan,cebuano
Komunyon,cebuano
mandilat,tagalog
Amirika,cebuano
magdialogo,tagalog
ditensiyon,tagalog
patigasan,tagalog
easy,ilocano
isig-isig,cebuano
bándo,hiligaynon
nagdas-og,cebuano
"ululúson, ululusón",hiligaynon
itiwasay,tagalog
Aywan!,tagalog
pasamain ang loob,tagalog
hutukin,tagalog
kababayan,tagalog
pamamaos,tagalog
hálu blak,cebuano
rilasiyun,cebuano
reproach,ilocano
yagong,tagalog
pag-uulot,tagalog
bilíbod,hiligaynon
magkilitian,tagalog
yuta,cebuano
hilaw,cebuano
dakong balay,cebuano
stockings,ilocano
itlog,cebuano
pangkat,cebuano
tabuylug,cebuano
tala,cebuano
"kulíhad, kulìhad",cebuano
maunungon,cebuano
punishment,ilocano
agúlù,cebuano
"surup, súrup",cebuano
gagad,tagalog
taliptip,tagalog
nasod,cebuano
biglang tanong,tagalog
tanda,tagalog
lipat,cebuano
kabalungga,cebuano
magsikukak,tagalog
hindi makahinga,tagalog
búlang,cebuano
imaskara,tagalog
pusibilidad,cebuano
sinsu,cebuano
pag-abotan,cebuano
trick,ilocano
biyas,tagalog
magkakapitbahay,tagalog
tokayo,tagalog
panudlo,cebuano
dakbut,cebuano
tiny,ilocano
paghunahuna,cebuano
bináryo,hiligaynon
kopras,cebuano
magtitina,cebuano
pambilang,tagalog
trangkahan,tagalog
sidahon,cebuano
preparasyon,tagalog
silab,cebuano
resibi,tagalog
childhood,ilocano
samadi,cebuano
darudaru,cebuano
kat-on,cebuano
atua,cebuano
maliwanag,tagalog
bastos,cebuano
kulíkut,cebuano
bitiis,cebuano
matapuson,cebuano
laya,tagalog
samoke,cebuano
bridle,ilocano
kadaugan,cebuano
pagpalagpot,cebuano
sipilyu,cebuano
kaluwalhatian,tagalog
umulit,tagalog
panumbálay,cebuano
panibukas na lagnat,tagalog
minimo,tagalog
pantalan,cebuano
histórya,hiligaynon
samput,cebuano
halâ,hiligaynon
detach,ilocano
bángkaw,hiligaynon
masabi,tagalog
"ulít-úlit, ulít-ulít",hiligaynon
bádhà,hiligaynon
dágir,cebuano
pálà,cebuano
dapo,tagalog
buluburan,tagalog
hinungdan,cebuano
binástos,hiligaynon
awditíbu,cebuano
paggraduwar,cebuano
adbans,cebuano
Opo,tagalog
bugsù,cebuano
lumbang,cebuano
tsup,cebuano
loyalty,ilocano
balálkan,hiligaynon
pakyas,cebuano
kampanaryo,tagalog
balasak,tagalog
ngalit,tagalog
tinalikdan,cebuano
batis,tagalog
ampiteatro,tagalog
kapalamarahan,tagalog
matumanon,cebuano
ulat,cebuano
granada,tagalog
úngut,cebuano
igisa,tagalog
gahak,tagalog
hamubo,cebuano
tiyan,tagalog
duay-ay,cebuano
nipis,cebuano
sa kaninay,cebuano
batiin,tagalog
dunot,cebuano
gipilde,cebuano
wreath,ilocano
dug-ab,cebuano
tagasingil,tagalog
kawalang-alam,tagalog
tiklup,cebuano
lingin,cebuano
kari,tagalog
sikwate,cebuano
buhat,cebuano
aksul,cebuano
organik,tagalog
tiglakat nga natulog,cebuano
pagkakasalaysay,tagalog
dalagita,cebuano
kin araan,cebuano
numb,ilocano
manununog,tagalog
gióng-gíong,hiligaynon
suweldo,tagalog
pangkalahatan,cebuano
búsu,cebuano
ispíkir,cebuano
kanino,tagalog
ginawin,tagalog
dudoso,tagalog
pagsamok,cebuano
kawalan ng kapanatagan,tagalog
gold,ilocano
maghayuma,tagalog
unfit,ilocano
kahinay,cebuano
itabing,tagalog
nahukman,cebuano
silong,cebuano
bukàkà,cebuano
hambugero,cebuano
iskupitilya,tagalog
pinaogi sa kaluoy,cebuano
húg,cebuano
sigam,tagalog
kibkibin,tagalog
binumbong,tagalog
busal,tagalog
detonation,ilocano
alilang-kanin,tagalog
falsificadór,hiligaynon
magkunuwa,tagalog
panlahi,tagalog
lákir,cebuano
manika,tagalog
lálik,cebuano
talinùtinù,cebuano
katungdanan,cebuano
prinda,cebuano
piskalia,tagalog
katian ng itlog,tagalog
bugtù,cebuano
pismil,cebuano
baying-baying,cebuano
mapakislot,tagalog
nasunog,cebuano
bahay-pangaserahan,tagalog
strange,ilocano
pagbabag,cebuano
subà,cebuano
on,ilocano
magkabangas,tagalog
pápa,cebuano
pundasyon,tagalog
"barandilya, barandilyas",cebuano
bintana,cebuano
itawag,tagalog
ato,cebuano
subwak,cebuano
mainom,cebuano
bárag,cebuano
rimas,tagalog
bánsil,hiligaynon
grabe,cebuano
guluwáan,hiligaynon
uka,tagalog
biskotso,tagalog
kasakitan,tagalog
sáya,cebuano
magtraffic,tagalog
baligtad,tagalog
diakonesa,tagalog
wad-an,cebuano
dahilan,tagalog
pagpapalipat-lipat,tagalog
hingágaw,hiligaynon
bombardéo,hiligaynon
relationship,cebuano
konsumido,tagalog
hardwir,cebuano
makalimutan,tagalog
bista,cebuano
hinuli,tagalog
puyo sa pisngi,tagalog
salpok ng tubig/alon,tagalog
sugal,tagalog
istambayan,cebuano
giharo,tagalog
hapà,cebuano
puwa-,cebuano
Makagagahum,cebuano
nubo,cebuano
diktador,tagalog
senigurong,cebuano
walang-konsiyensiya,tagalog
habilhábil,cebuano
baháda,cebuano
anyway,ilocano
magwalay,tagalog
pagkapagkalinga,tagalog
moderistic,ilocano
limitahan,tagalog
parisan,cebuano
extend,ilocano
búlkat,hiligaynon
agianan sa ilalom,cebuano
limbungan,cebuano
kutang,cebuano
pagbagulbol,cebuano
paghihilod,tagalog
paghingapin,cebuano
nakapapaso,tagalog
abrigo,tagalog
dili hangtud anus-a,cebuano
waping,cebuano
tumbalik,tagalog
lugituk,cebuano
pukù,cebuano
tumanga,tagalog
pasamut,cebuano
pukang,cebuano
bú,cebuano
intimidasyon,tagalog
kawalan,tagalog
tutunlan,cebuano
tiburin,tagalog
chairman,ilocano
sapun,cebuano
"piyun, píyun",cebuano
mamamanday,cebuano
paglaban,cebuano
linangin,cebuano
sumipa,tagalog
udyong,cebuano
sikinsa,cebuano
milyunarya,tagalog
saring,cebuano
lefthanded,ilocano
ikspan,cebuano
saway,cebuano
dalagang-bukid,tagalog
gugma,cebuano
tubig,tagalog
kwadruplikit,cebuano
wala'y kaluoy,cebuano
basanlutin,tagalog
linea,tagalog
pasahero,cebuano
gapas,tagalog
sulubakô,hiligaynon
uwian,tagalog
paglalabas,tagalog
masabon,tagalog
paglalakad na mahaba,tagalog
pamínaw,cebuano
sakit ng/sa tiyan,tagalog
pagkadaot,cebuano
idruhína,cebuano
ghost,ilocano
sumibad,tagalog
mangalot,tagalog
dama,tagalog
manluluwas,cebuano
sudiyang,cebuano
sinyorito,tagalog
malaw-ay,cebuano
iburador,tagalog
panghabang-buhay,tagalog
kaosyosohan,tagalog
init gamay,cebuano
sugok,tagalog
sunod,cebuano
balúkag,cebuano
patulong,tagalog
magdistila,tagalog
kulaykulay,cebuano
tabal,tagalog
kalabog,tagalog
sinugo,cebuano
kumuyumos,tagalog
isaysay,cebuano
turpáda,cebuano
ngumungo,tagalog
makita,tagalog
luyahan,tagalog
gip-ut,cebuano
silaw sa kandila,cebuano
kawil,tagalog
balikawkaw,tagalog
bintuláwu,cebuano
matilihan,tagalog
nagsubo,cebuano
bighani,tagalog
átik,cebuano
maglagpak,tagalog
artsipelago,tagalog
pusitib,cebuano
hilo,tagalog
rúsdak,hiligaynon
hipong-alat,tagalog
tíkit,cebuano
harana,cebuano
luib,cebuano
bíkrat,hiligaynon
gilay-on,cebuano
kalù,cebuano
pause,ilocano
sangpútan,hiligaynon
sukáy,hiligaynon
kisas,cebuano
rin,cebuano
kyugpus,cebuano
sagayad,tagalog
korales,tagalog
halakhak,tagalog
trahedya,tagalog
pigurin,cebuano
hinungdan,cebuano
bad-ay,cebuano
pagtambalin,tagalog
bumuhaghag,tagalog
luup,cebuano
daing,tagalog
pagkamasagwa,tagalog
lumubag,tagalog
bani-ól,hiligaynon
nahasupil,cebuano
magpaunawa,tagalog
may-ong,cebuano
singsing,cebuano
pagkamaligasgas,tagalog
magpapulandit,tagalog
dalugdog,tagalog
magpayagyag,tagalog
pamúu,cebuano
maleta,cebuano
sanúng,hiligaynon
di-kawili-wili,tagalog
torment,ilocano
persiyana,tagalog
solísas,hiligaynon
dambungin,tagalog
himbubuli,tagalog
herself,ilocano
pagwalaang-galang,tagalog
baks,cebuano
bantal,cebuano
likayi,cebuano
pangadye,cebuano
gulukan,tagalog
yawe,tagalog
tumalaok,tagalog
tabol,tagalog
kemiko,cebuano
langis ng oliba,tagalog
hangit,cebuano
alpilir,cebuano
walang-mali,tagalog
mantíkà,cebuano
abtik,cebuano
kalma,cebuano
parmasya,tagalog
pandidilat,tagalog
pagkanuluhan,tagalog
duyas,cebuano
sinangag,tagalog
sandúrut,cebuano
panuborno,cebuano
likod,cebuano
pangangarap nang gising,tagalog
meciless,ilocano
langtung,cebuano
blúbuk,cebuano
kuyumpit,tagalog
tabanáw,hiligaynon
minoriya,cebuano
tigpaw,tagalog
salig-ay,cebuano
sapúra,hiligaynon
sa isang kisap-mata,tagalog
mga baka,cebuano
hungkag,cebuano
sungisuk,cebuano
luwas,cebuano
kurukutuk,cebuano
puhonan,cebuano
efficiency,ilocano
bangka,cebuano
magbiyak,tagalog
tupi,tagalog
kaduol,cebuano
pagwawakas,tagalog
kaalipnan,tagalog
pipis,tagalog
microphone,tagalog
hirapin,tagalog
uli,cebuano
saklolohan,tagalog
everybody,ilocano
kerosene,ilocano
tribute,ilocano
pilakin,tagalog
mangitlog,tagalog
datay,tagalog
tersiyopilo,cebuano
roast,ilocano
panig-ingnan,cebuano
mabungian,tagalog
pakig-an(←),cebuano
maramdaman,cebuano
kapanahunan,tagalog
magsaing,tagalog
itago,cebuano
gatla,tagalog
labadur,cebuano
magpakalayo,tagalog
balibad,cebuano
by-law,ilocano
hilaw,cebuano
ang nakab-ot,cebuano
pagkaanaa,cebuano
isaloob,tagalog
matinag,tagalog
pantayin,tagalog
tamhang,cebuano
fifth,ilocano
uyon,cebuano
isulong,tagalog
mapanood,tagalog
mekanismo,tagalog
suha,tagalog
pagkalutos,tagalog
kaláhà,cebuano
súlhay,hiligaynon
likin,cebuano
idyus,cebuano
sumpay,cebuano
úlag,hiligaynon
daklit,cebuano
buringót,hiligaynon
gusáng,hiligaynon
bokasyon,tagalog
stationary,ilocano
katesismo,cebuano
lain,cebuano
episode,ilocano
sigihan,tagalog
báka,hiligaynon
rosal,cebuano
baliin,tagalog
diklarar,cebuano
bunihin,tagalog
láwà,cebuano
parid,cebuano
albumen,tagalog
baybay,tagalog
minor,ilocano
lami,cebuano
trák,cebuano
paglipot,cebuano
dau,cebuano
kauban sa dula,cebuano
sawang,tagalog
pumugot ng ulo,tagalog
tákal,cebuano
karumal-dumal,tagalog
palong,cebuano
kastanyas,cebuano
paninirahan,tagalog
hagbas,cebuano
mamilit,tagalog
bulahín,hiligaynon
nangagi,cebuano
outline,ilocano
isiwalat,tagalog
tikas,tagalog
magmatigas ng ulo,tagalog
ang pagdaginot,cebuano
umangat,tagalog
manauli,tagalog
bákas,hiligaynon
bútong,hiligaynon
palandong,cebuano
pagtamay,cebuano
hit,cebuano
flush,ilocano
tál,cebuano
lakat,cebuano
gimaw,cebuano
makita,cebuano
nangunot,cebuano
garúgad,hiligaynon
kukwa,cebuano
palya,tagalog
instrument,ilocano
bátir,cebuano
hindi kaya ng ulo,tagalog
tax,ilocano
enema,ilocano
gumiwang-giwang,tagalog
pagkasala,tagalog
panghaplas,tagalog
ali,cebuano
pagkanaog,cebuano
ulanag,tagalog
expect,ilocano
biay-biay,cebuano
isangguni,tagalog
samok,cebuano
magamit,cebuano
ikatigatig,tagalog
paghatag,cebuano
bag-ong nagatubo,cebuano
páta,cebuano
paglaraw,cebuano
linihokan,cebuano
panraya,tagalog
olibino,tagalog
sagráryo,hiligaynon
pakita,tagalog
kunggrísu,cebuano
kanal,cebuano
paninigarilyo,tagalog
paghambingin,tagalog
lahong pangkat,tagalog
"basalyu, basalyus",cebuano
saplag,cebuano
pahiwatig,tagalog
ibang,cebuano
sumosyo,tagalog
iwas,tagalog
dantaon,tagalog
pilátu,cebuano
bili,cebuano
kawalang-sala,tagalog
paggisaw,tagalog
superintendente,cebuano
mapagkanulo,tagalog
deretso,tagalog
wangis,tagalog
ipaghabol,tagalog
inyo,cebuano
sala,cebuano
kemestri,tagalog
bílay,hiligaynon
diyana,tagalog
katagalan,tagalog
"hingápus, hingapús",hiligaynon
dispunir,cebuano
pilipig,tagalog
hapak,cebuano
prowa,tagalog
pangahasan,tagalog
hayáhay,hiligaynon
lanátad,cebuano
kamangha-mangha,tagalog
bugoy,cebuano
popularity,ilocano
kinamut nga buhat,cebuano
inutil,cebuano
lángub,cebuano
hariánon,hiligaynon
pagbilog,tagalog
líhuk,cebuano
pagpili,cebuano
sakbit,cebuano
makapagpatuloy,tagalog
uyong,cebuano
kuyumos,tagalog
leteng,tagalog
baton,cebuano
hisong,cebuano
mabaliling,tagalog
pagbomba og hagin,cebuano
mungà,cebuano
baragóok,hiligaynon
limpyo,cebuano
tambis,tagalog
paghihinawa,tagalog
masiga,cebuano
sugub,cebuano
ugáling,hiligaynon
vowel,ilocano
thrill,ilocano
pagkakagayak,tagalog
harana,cebuano
abenturero,tagalog
bugating kasisikan,tagalog
kiti,tagalog
babuyan,tagalog
takigrapo,tagalog
laud,ilocano
halatagon,cebuano
tipan,tagalog
pagtananan,tagalog
sa wakas,tagalog
pagningasin,tagalog
labawg bahin,cebuano
mason n.,ilocano
libid,tagalog
paghilik,tagalog
dahil,cebuano
taol,tagalog
pupol,tagalog
katala,tagalog
paypay,cebuano
Pagkukumpisal,tagalog
itangis,tagalog
maraming alam na laro,tagalog
tsúk,cebuano
haláyhay,hiligaynon
yapak,tagalog
bandurista,tagalog
leg,ilocano
kabibi,cebuano
paglalamyos,tagalog
brongkitis,tagalog
tumatabang,cebuano
may-kaalaman,tagalog
kainalam,tagalog
hindi handa,tagalog
kurog,cebuano
anlalawa,tagalog
engkantador,tagalog
walang-titulo,tagalog
pigtul,cebuano
bulutong,tagalog
sabuyan,tagalog
surtpan,cebuano
manggipit,tagalog
kagyat,tagalog
magsandata,tagalog
mabural,tagalog
hutúhut,cebuano
batuk-baka,tagalog
pangamuyo,cebuano
limping,ilocano
tilabhù,cebuano
pagtahi,tagalog
pagpausbaw,cebuano
sa teoyolohiya,cebuano
lapida,cebuano
tabakalera,tagalog
abot,cebuano
pigain,tagalog
mala-,tagalog
mapatambak,tagalog
itira,tagalog
pagsakmit,cebuano
pantina,tagalog
liwanagin,tagalog
katuwas,tagalog
pagpatay sa masuso,cebuano
dumili,cebuano
huminga,tagalog
buulbúul,cebuano
tangab,tagalog
nagpasagad,cebuano
kubungan,tagalog
manghod,cebuano
later,ilocano
indihestyon,tagalog
magsalata,tagalog
makipagkaibigan,tagalog
sáksak,hiligaynon
tirminal,cebuano
sulti,cebuano
magsakripisyo,tagalog
iskutinyu,cebuano
magubtanon,cebuano
búlak,hiligaynon
dihutukin,tagalog
pangutana,cebuano
petal,tagalog
four,ilocano
paputukin,tagalog
ulíhad,cebuano
bída,hiligaynon
lunglayin,cebuano
lamúkat,cebuano
sala-salabat,tagalog
sa paaging sukihan,cebuano
saklaan,tagalog
ibabaw,cebuano
umitim,tagalog
humabol,tagalog
daldal,cebuano
bundak sa tingog,cebuano
pious,ilocano
pudpurin,tagalog
sukod,cebuano
gambala,tagalog
pláka,cebuano
Hesukrísto,hiligaynon
mawo,tagalog
tanggapan,tagalog
gamay kaayo,cebuano
masalaypon,cebuano
panglimbasog,cebuano
sa likod ng,tagalog
talaan,cebuano
pintal,tagalog
marpel,cebuano
yúbit,hiligaynon
dimon,tagalog
karikatúra,cebuano
misbuy,cebuano
koral,cebuano
di-timbang,tagalog
taos,tagalog
tutunlan,cebuano
dula,cebuano
kagamitan,tagalog
wiriwiri,cebuano
salimbuáng,hiligaynon
magpabali-balintong,tagalog
lapastangan sa relihiyon,tagalog
tigusisa,cebuano
halakhakan,tagalog
hidlayit,cebuano
tarhíta,cebuano
utterly,ilocano
mananakud,cebuano
purbado,tagalog
ekstrabagansa,tagalog
strikto,cebuano
ulcerous,ilocano
mulmul,cebuano
disorder,ilocano
hilo,cebuano
kabudlay,cebuano
maluibon,cebuano
ilikturáda,cebuano
mahabol,cebuano
kalambibit,tagalog
bale-wala,tagalog
huli,tagalog
gum-uson,cebuano
pansangga,tagalog
napakalakas,tagalog
mahinamon,cebuano
katulungin,tagalog
labsaw,tagalog
makipanig,tagalog
is,ilocano
kasakdalan,tagalog
las-ay,cebuano
ban-áwan,hiligaynon
lumoko,tagalog
linimento,tagalog
tyatru,cebuano
tinguha,cebuano
tsalíku,cebuano
pilikaw,tagalog
mercy,ilocano
Paraklito,tagalog
walang-kapintasan,tagalog
pagyayakap,tagalog
kabot,cebuano
kabahagi,tagalog
saho,tagalog
hataas,cebuano
diksiyonaryo,cebuano
langgà,cebuano
guláman,hiligaynon
kalawilihan,tagalog
gádyà,hiligaynon
kutsero,cebuano
tuhoy,cebuano
manikurista,cebuano
láyik,cebuano
walang-gaano,tagalog
maikli at tuwiran,tagalog
katedral,cebuano
magsapakatan,tagalog
kupal,cebuano
bagkat,tagalog
magdadaog,cebuano
pagtigil,tagalog
bíngkas,hiligaynon
tungayawin,tagalog
balhin,cebuano
mag-ugma,tagalog
pagkahirin,tagalog
mahigalahon,cebuano
sakwil,tagalog
inupat,cebuano
masawata,tagalog
magtubal,tagalog
peseta,tagalog
pungpung lálung,cebuano
pulangkì,cebuano
pepino,tagalog
likutin,tagalog
ludà,cebuano
astrunawta,cebuano
talo,cebuano
deduction,ilocano
kambyuhan,tagalog
ngalngal,cebuano
paurungin,tagalog
damo,tagalog
mapagtiyaga,tagalog
pilit,cebuano
mabighani,tagalog
kulumpiyu,cebuano
sákwa,hiligaynon
bulak,cebuano
glimpse,ilocano
manikyurista,tagalog
sungkud,cebuano
pángit,cebuano
antayin,tagalog
moody,ilocano
pagawpaw,cebuano
hanlag,cebuano
bahandi,cebuano
maligat,tagalog
buyâ,hiligaynon
paebakwetin,tagalog
pahalimuyakin,tagalog
magwalang-imik,tagalog
Ispánis,cebuano
ipagtanggol,tagalog
hanap,cebuano
desesperado,tagalog
pagkaalis,tagalog
magkatono,tagalog
útang,cebuano
makaisip,tagalog
bribery,ilocano
intrabudyǔs,cebuano
pagkatawo,cebuano
ulúk,hiligaynon
sab-ag,cebuano
sirang-sira ang loob,tagalog
túnik,cebuano
matadíru,cebuano
bángkong,hiligaynon
malcontent,ilocano
lugod,cebuano
mapagtitiisan,tagalog
magrekord,tagalog
kapagkapag,cebuano
fluid,ilocano
pumaga,tagalog
magtalumpati,tagalog
magpaiwan,tagalog
maaninag,cebuano
tinuohan,cebuano
hawas,tagalog
Lawrensyum,tagalog
laudano,tagalog
alog,tagalog
kagáwad,cebuano
rapal,cebuano
magpapawis,tagalog
túngan,cebuano
ability,ilocano
raft,ilocano
ilhanan,cebuano
dakung,cebuano
saliut-ut,cebuano
kakabiyak,tagalog
sa layo,cebuano
raspahin,tagalog
regenerate,ilocano
huspital,cebuano
mat,cebuano
suntok,cebuano
tide,ilocano
pailing-iling,tagalog
sinaing,tagalog
wala'y pagtahod,cebuano
masamukon,cebuano
saranggola,tagalog
pakol,cebuano
lalagyan,tagalog
pagbalikas,cebuano
tumingin-tingin,tagalog
mandadangkal,tagalog
pamumugto,tagalog
taspukan,cebuano
babaan,tagalog
"bakla (male), tomboy (female)",cebuano
paghulat,cebuano
kapakápa,cebuano
supak sa batakan-balaod,cebuano
iseguro,tagalog
hitabû,hiligaynon
báto,hiligaynon
tauhin,tagalog
kaliwa,tagalog
mabait,tagalog
arindahin,tagalog
mubo,cebuano
isplǐt,cebuano
stone,cebuano
kalambrihin,tagalog
básas,hiligaynon
bingit,cebuano
gobiyerno,cebuano
kaon,cebuano
kamula-mulaan,tagalog
wit,ilocano
paglilipon,tagalog
poramenapera,tagalog
tirasis,cebuano
lamù,cebuano
ibalot,cebuano
ato-ato,cebuano
"suwál, suwál-suwál",hiligaynon
sa bisan asa,cebuano
dapug,cebuano
Griego,tagalog
minahal,cebuano
