letter,word,definition,dialect,sentiment
a,abánid,"v. do something step by step, and in sequence. Iabánid (abaníra) kini pagpintal arun dílì magkampat, Paint it one square at a time so it will come out even; a. done in succession, order. Abánid ang íyang pagsukut sa mga istudyanti, He asked the students one after another in turn.",cebuano,
a,abaníku,"n. 1. folding fan; 1a. fan of any sort for fanning oneself; 2. blackberry lily, kind of bulbous ornamental: Balamcanda chinensis. It is so called because the leaves are arranged like an opened fan; 3. see baníku; 4. kurta di- see kurta; v. 1. make into a fan; 2. fan someone paN- v. fan oneself. inabaníku n. something made in such a way that it can be folded for storage, e.g., a folding chair, jackknife.",cebuano,positive
a,abansáda,"a. exposed to the wind; v. for something to be directly open to the wind. Naabansáda sa hángin ang ákung bukubuku, maung gisip-un ku, My back was directly exposed to the wind. That’s why I caught cold. Ayaw abansadáha (iabansáda) sa hángin ang inyung bintánà, Don’t put a window right where it catches the full breeze.",cebuano,positive
a,abansin,"v. advance, for a body of people to move forward. Ang mga Hapúnis miabansin sa pátag sa Lusun, The Japanese advanced over the plains of Luzon.",cebuano,positive
a,abante,advance,cebuano,positive
a,abanti,"a. 1. forward, ahead. Abanti ka rang milingkud, You took a seat too far to the front; 2. ahead in score; v. 1a. move forward. Muabanti kag diyútay, matambug ka sa bangag, If you move forward any more, you will fall into the hole. Iabanti nang ímung awtug diyútay, Move your car forward a bit; 1b. be ahead, have more points in a game. Naabantíhan mu námug diyis puntus, We were ten points ahead of you; 2. keep up with something Dì ku makaabanti sa galastúhan sa iskuylahan, I cannot keep up with the school payments; 3. endure work. Dì ku makaabanti sa pagdáru kay dautun ku, I can’t keep up with the plowing because I’m sickly; 4a. ask part payment in advance, especially in salary; 4b. give someone a cash advance on his salary or other payment; n. 1. front wheel(s). Nahiyus ang abanti sa mutur, The front tire of the motorcycle is flat; 2. forward gear; 3. front seat in a car. atras — see atras.",cebuano,negative
a,abánu,"n. factory-made cigar; v. 1. make into a cigar; 2. have, obtain a cigar. paN- v. smoke a cigar.",cebuano,negative
a,abat,"n. 1. any supernatural being or human with supernatural powers which shows itself in an unexpected and startling way; 2. one who is ‘it’ in games; v. 1. head off someone Maapsan pa nímu siya ug ímung abatun sa iskína, You can still catch up with him if you head him off at the corner; 2. frighten someone by appearing suddenly or otherwise startling him. Ig-ági níya, abta siya, When he comes by, give him a scare. alabtan, abtanan a. haunted, place where things appear suddenly. alabtun someone to whom spirits tend to show themselves. abat-ábat n. game of tag; v. 1. play tag; 2. try to meet without succeeding. Wà giyud mi magkítà, nag-abat-ábat lang, We just kept missing each other.",cebuano,negative
a,abat,n. witch; wizard; apparitions; supernatural beings,cebuano,negative
a,ábat,"v. 1. feel with the hands, esp. to find something out. Nag-ábat siya sa yáwi sa íyang bulsa kung wà ba hibyai, He felt for the key in his pocket to see if he hadn’t left it behind. Abátun ku ang íyang agtang ug hilanatun ba, I’ll touch her forehead to see if she is feverish; 2. feel something with the sense of touch. Nakaabat ku sa kabugnaw sa sinihan, I felt the coolness of the movie house. Abátun gánì nímu ang kasakit, musamut giyud, If you think about the pain, it will get worse; 3. happen to notice, sense something Nakaabat kung mu rag may misaka sa ámung báy, I sensed that someone had entered our house.",cebuano,negative
a,ábat,"v. hold on to something fixed to support oneself. Ang tigúwang miábat sa pasamánu paingun sa táas, The old man held on to the bannister while going upstairs. -an(→) n. a railing in shape of a ladder for baby to cling to when he starts to walk.",cebuano,negative
a,abatod,beetle,cebuano,
a,abay,buddy,cebuano,negative
a,abay,juxtapose,cebuano,negative
a,abay,parallel,cebuano,negative
a,abay,prep. beside,cebuano,negative
a,abay,"v. 1. move along together with something moving. Lagmit hiligsan ang bátà kay nag-abay sa tartanilya, The child is likely to be run over because he is running alongside of the rig. Silang duha nag-ábay paglanguy, The two swam side by side; 1a. — ug sawa have a snake born at the same time one is born. The snake is called one’s twin (kalúha) and is supposed to bring him and his family luck. Pagkatáwu sa ákung iyaan, giabayan (giabyan) ug sawa. Mau nang nadátù ang íyang inahan, When my aunt was born, a twin snake was born with her, and so her mother became rich; 2. go in with someone who buys or invests in something Ug mupalit kag usa ka sákung humay muabay kug lima ka gantang, If you buy a sack of rice, I will go in with you for five ganta’s worth. Giabyan níyag singku písus ang ákung pusta, He went in for five pesos on my bet; 3. go in together in a fishing operation which requires several hands; 4. attach a gaff in the abay way (see abay, n 4); n. 1. money paid as a share in a purchase or investment. Ang ákung abay bálig dus písus ra, My share is two pesos’ worth; 2. bridesmaid or best man; 3. man’s male friend; 3a. title used by males of the same age to each other. short form: bay. Ása man ning dyípa, bay? Where is this jeep headed for, driver? 4. manner of tying a gaff to a cock level with and parallel to the spur to offset any advantage it may have over its opponent. maN-l-(←), maN-r- n. persons who go in together in a fishing operation. -an, abyanan n. life saver. abyan n. 1. friend, companion. Alang kaníya walà siyay láing abyan kun dílì álak, He has no other friend except liquor; 2. supernatural being that provides a shaman or sorcerer with his power; v. 1. be friends. Kita lay mag-abyan, Let’s be friends; 2. indulge in a bad habit. Walà siya makig-abyan sa huguyhúguy, He did not indulge in roaming about.",cebuano,negative
a,abay-abay,juxtapose,cebuano,
a,abgaw,see adgaw. -un n. kind of snapper with a yellow streak along the body: Lutianus sp.,cebuano,
a,abhak,"v. diminish something by taking away or destroying part of it. Naabhak (naabhákan) ang íyang abága sa bála, The bullet tore a huge piece out of his shoulder; n. hole left when something is chopped off, out. Dakù kaáyu ang abhak sa káhuy, There’s a big cut in the tree; a. done in such a way that something is chopped off. Abhak nga pagkabuldúsir ang inyung nataran, Your yard was bulldozed clean.",cebuano,
a,abhong,rancid,cebuano,
a,abhul,see abhung.,cebuano,
a,abhung,"a. musty and flat in smell: damp clothing, rice, sweet potatoes, salted fish, et al; v. be, become musty. -un(→) a. of a musty kind.",cebuano,negative
a,ábi,"1. — [gen.] [gen.] thought, took for granted. Ábi nákug tinúud, I thought it was true. — nímu You know what? Ábi nímu? Nakit-an ku siya nga láig kúyug, You know what? I saw him going out with someone else; 2. — kay just because. Ábi kay nakadaug sa byúti kuntis midakù na ang úlu, Just because she won the beauty contest she thinks she is something; 3. — na lang someone might think that. Súkul. Ábi na lang, daug. Fight back. They might think you give up.",cebuano,positive
a,abi,"see abir 1, 2.",cebuano,
a,abiábi,"v. show hospitality to. Mu giyud ning táwung iládu, abiabíhun giyud sa mga tagilungsud, The townspeople show hospitality to any famous visitor. maabiabíhun, manggiabiabíhun a. hospitable.",cebuano,positive
a,abiba,acclaim,cebuano,positive
a,abiba,hail,cebuano,positive
a,abiba,n. encouragement,cebuano,positive
a,"abíba, abibar","v. cheer one on, encourage to do. Nag-abíba sa mga bátag binúang, Egging the children on in their naughtiness; n. encouragement, egging on. maabibáhun a. giving encouragement, egging on.",cebuano,positive
a,abíhid,see alabíhid.,cebuano,
a,abilay,see sambilay.,cebuano,
a,abilidad,"n. ability, capacity or skill to accomplish something v. obtain a certain ability. abilidaran a. skilled, able. Abilidaran nà si Tunyu. Bansayng mutínis, Tony has talent. He plays tennis well.",cebuano,positive
a,abilyána,"a. tan-colored shoes; n. tan polish; v. polish shoes with a light tan polish, color them tan. Abilyanáha (abilyanáhi) ning sapátus kung putì, Dye these shoes of mine tan. Wà kuy bitung itum. Abilyanáhi lang, I don’t have any black polish. Just put tan polish on them.",cebuano,
a,abin,affiliate,cebuano,
a,ábin,"v. 1. engage in an enterprise or game together. Mag-ábin ta sa pamaligyag pagkáun, Let’s become partners in selling food; 2. ally on oneself with. Mga hakug sa gahum ang miábin kaníya, People who were greedy for power allied themselves with him. Nakig-ábin aku kaníya sa íyang mga panglantaw sa unáhan, I share his views of the future; n. partner in business or game. Ug siyay ákung ábin sa bíku kanúnay ming mudaug, When she is my partner in hopscotch, we always win. ka- n. see ábin.",cebuano,negative
a,abintúra,"n. 1. adventures; 2. adventure film, story. Makítà siya sa mga lílas abintúra, He appears in adventure films; v. 1. try going s.w. for the adventure of it. Nag-abintúra mig katkat sa Manunggal, We went on an expedition to Mt. Manunggal; 2. see abinturar.",cebuano,
a,abinturar,"v. try one’s luck. Miabinturar (nangabinturar) lang siyag aplay básig madáwat, He tried his luck in applying in hopes he might be accepted. Abinturahi (abinturaha) lang si Maríyag hangyù, Try your luck with Maria and ask her. abinturíru, -a see abinturista. abinturista a. adventurous, tending to try things out without knowing the outcome. Dì ku mugugul ug kwarta niánà kay dì ku abinturista. Básig dì musalir, I won’t invest my money on that because I’m not daring. It might just fail.",cebuano,positive
a,abir,"1. particle used in calling attention to a point in contention. Ang diyus makagagáhum. Abir, unsáun man nímu pagpangutána diin siya manukad, God is almighty. All right then, how can you ask where He comes from? 1a. particle used in inciting a person to do something Abir, sulayi ug musalir ba nang paagíha, O.K. Just see if that procedure works out. Abir, sumbága kunu ku kay isumbung tikaw ni Pápa, All right, just try hitting me, and I’ll tell Daddy on you; 2. pause word expressing hesitation when one doesn’t know how to do something Abir, lisúa nag hínay dúngan sa pagtulbuk ári, Let’s see now, turn that slowly and press this at the same time; 3. see ambi. 4 v. try one’s luck, take a stab at. Nangabir (miabir) lang siyag panlútù. Dì hinúun siya kamau, He just took a try at cooking. He doesn’t really know how. Abirun unyà nákug hangyù si Maríya, I’ll just take a stab at asking Maria. Iabir kunu ni sa ahinsiya ug dawátun ba, Try taking this to the pawnshop and see if they will accept it.",cebuano,positive
a,abirids,"n. 1. average, the usual size or quantity; 2. average rating in school. Pasar ku kay utsinta ákung abirids, I passed because my average was eighty; v. 1. average so and so much. Makaabirids mig lima adlaw-adlaw, We can sell on the average five every day; 2. have an average grade of.",cebuano,
a,abiríya,"a. be broken, inoperative; v. 1. for an engine to break down. Kining trak dílì magámit. Nag-abiríya man, This truck cannot be used. It is broken; 2. be under the weather. Naabiríya aku kay nagkalíbang aku gahápun, I’m not feeling well because I had diarrhea yesterday.",cebuano,negative
a,abirtu,see abyirtu.,cebuano,
a,abis,snip,cebuano,negative
a,abis,"v. slice with a curved blade, cut a small or thin part from a bigger piece. Abisig diyútay nà, Slice a piece off of it. paN- v. slice the terminal portion of a coconut bud to induce sap flow. Kaduha sila mangabis káda adlaw, They make an incision in the bud twice a day.",cebuano,negative
a,abísu,"n. announcement of something to come; v. 1. announce something to come. Nag-abísu ang radyu nga adúnay bagyung umaábut, The radio announced that there is a typhoon coming; 2. receive an announcement. Nakaabísu ming way túbig ugmà, We received the announcement that there would be no water tomorrow.",cebuano,
a,abitsuwelas,bean,cebuano,
a,abitsuylas,see habitsuylas.,cebuano,
a,abitu,"n. habit, a distinctive apparel worn by devotees, priests, monks, and the like; v. wear a habit.",cebuano,positive
a,abíyu,"n. food, provisions, money, supplies for daily consumption; v. provide food, etc. Báhin sa mga kinahanglanun matag adlaw akuy muabíyu, As far as your daily needs go, I will provide. Abyúhan ta lang mug usa ka sákung humay matag búlan, We’ll supply you with one sack of rice a month.",cebuano,negative
a,abiyun,n. airplane. ka-an(←) n. group of airplanes.,cebuano,
a,abkay,"v. dig up, out. Abkáyun ku ang kwarta nga ákung gilubung dinhi, I will dig up the money that I buried here.",cebuano,
a,abla,"v. speak to someone with some purpose in mind. Abláhi kunu si Máma, básin pag musugut, Try to talk mother into it. She might let us; n. 1. persuasive talk. Dílì ka sugtun niánang bayhána kun walà kay abla, That woman will not accept you if you don’t sweet-talk her; 2. big talk. Abla lay nagdaghan. Walay líhuk, It was all just big talk. No action. paN- n. art or technique of expressing one’s viewpoint. Malampúsun siyang abugádu kay maáyu siya sa pangabla, He is a successful lawyer because he has a good technique in talking.",cebuano,negative
a,abládu,"n. 1. delivered in spoken fashion. Ang kúru abládu, dílì kantáhun, The chorus is spoken, not sung; 2. lines of a play; v. speak lines.",cebuano,
a,ablása,see abrása.,cebuano,
a,abli,open,cebuano,positive
a,abli,uncover,cebuano,positive
a,abli,"v. 1. open something, be open. Ikaw bay nag-abli sa pultahan? Were you the one who opened the door? Sulud lang kay nag-abli ang pultahan, Just come right in. The door is open; 2. begin, start a class, business, etc. Muabli ang klási sa Hunyu, Classes begin in June. Ablíhag (ablíhug) sayu ang klási sunud túig, Classes will open early next year; 3. found, establish an enterprise. Anus-a man ablíhi (ablíha) ang inyung iskuylahan sa panahì? When will you open your sewing school? n. 1. opening. Dakug abli nang tarúha, That can has a big opening; 2. opening of classes; a. 1. open. Abli ang bintánà. Sirhi ra gud, The window is open. Please close it. 2. be started. Abli na ang tindáhan. Palit ngadtug kapi, The store is open now. Go buy some coffee.",cebuano,positive
a,ablihan,open,cebuano,
a,ablihan,uncover,cebuano,
a,ablihi,open,cebuano,
a,abo,gray,cebuano,
a,abo,n. ash,cebuano,
a,abog,n. dust,cebuano,negative
a,abog,n. powder; dust,cebuano,negative
a,abogado,n. attorney; lawyer,cebuano,
a,abogado nga suwitik,shyster,cebuano,
a,abogado nga tikasan,shyster,cebuano,
a,abokado,avocado,cebuano,
a,aborsyon,abortion,cebuano,
a,abot,account; earnings; income; profit; output,cebuano,positive
a,abot,came,cebuano,positive
a,abot,n. yield,cebuano,positive
a,abot,reach,cebuano,positive
a,abot,ware,cebuano,positive
a,abot sa,"alang kang, hangtud sa, etc. prep. coming from",cebuano,
a,abot sa yuta,n. crop,cebuano,
a,Abr.,"abbreviation for Abril, ‘April’.",cebuano,
a,abrap,"a. 1. sudden. Abrap ra kaáyu nang ímung pag-anhi, Your coming is very sudden; 2. brusque; v. 1. be sudden, do something by plunging right into it. 2. be brusque. Naabrap ra tu nímu pagkatubag, You answered in a brusque way.",cebuano,negative
a,abrása,"v. walk side by side with. Hulat kay muabrása kug lakaw ninyu, Wait for me. I’m going to walk next to you. Dílì ta mag-abrásag lakaw sa karsádang hagip-ut, We shouldn’t walk side by side on a narrow street.",cebuano,
a,abrasadur,"n. see tangdayan; v. see tangday, 2.",cebuano,
a,abrasíti,"v. promenade arm in arm or side by side. Nakit-an kung ímung bánang may giabrasíting (giabrasitíhang) babáyi, I saw your husband walking arm in arm with a woman (with a woman holding on to his arms).",cebuano,
a,abrasyíti,see abrasíti.,cebuano,
a,abri,open,cebuano,
a,abri,see abli. -dur n. opener.,cebuano,
a,abri,see abyirtu.,cebuano,
a,abrigána,"n. something that stimulates the appetite. Maáyung abrigána ang bír, Beer is good to stimulate the appetite.",cebuano,positive
a,abrigáwu,"n. 1. apprentice on a ship; 2. one who works on a boat for his passage; v. 1. be an apprentice, apprentice someone to. 2. work in lieu of paying passage.",cebuano,positive
a,abrígu,"n. shawl; v. wear, make, receive a shawl.",cebuano,
a,Abril,April,cebuano,
a,Abril,"n. April; v. 1. do something in April. Magbakasyun mu sa Hunyu? Ah, Abrila lang, Will you take your vacation in June? Oh, just make it in April; 2. write down April in a document. Máyu ímung nabutang? Abrila lang hinúun, Did you write May? It should be April.",cebuano,
a,abriláta,n. can opener.,cebuano,
a,absin,"v. 1. absent, fail to attend work or class. Absínig kas-a nang klasíha nímu, Just miss your class this one time; 2. mark one absent. Absínan tikaw, I’ll mark you absent; n. absence, time away from class. Daghag absin nímu Dyú, lagmit ka mahagbung, How many absences you have, Joe! You’re likely to flunk. hiN-, pala-, absiníru, absinus a. given to missing classes. Anus-a gud nà siya makapasar nga absinus man nà sa klási, How can he pass if he always misses classes? — mayindid a. absent-minded.",cebuano,negative
a,absinus,see absin.,cebuano,
a,absulusiyun,"n. absolution; v. give absolution. Gilubung siya nga walà gánì kaabsulusyuni, He was buried without having received absolution.",cebuano,
a,absuwiltu,n. acquitted in court; v. acquit.,cebuano,
a,abtik,"a. 1. nimble, quick in reaction. Ang musáyaw sa tinikling kinahanglang abtik ug tiil, Whoever dances the tinikling has to have nimble feet; 2. fast, live in action. Mahuman ni dáyug abtik lang mutrabáhu, It will get done right away if you work rapidly; 3. cunning, sly. Abtik giyud siya kay midáwat imbis mubáyad, He sure is sharp. Instead of paying as he should have, he got paid; v. 1. get to be nimble; 2. get to be fast in action. Muabtik (maabtik) lagi ang íyang panglíhuk basta pakit-ug sápì, He’ll get moving fast as long as you show him money; 3. get to be cunning, sly; 4. outsmart. Naabtikan sad ku sa bátà, The child put one over on me. paN- v. engage in chicanery. Ayaw kug pangabtíki kay suhítu ku, Don’t try to put a fast one over on me, because I know my way around.",cebuano,positive
a,abtik,adj. active,cebuano,positive
a,abtik,adj. cunning,cebuano,positive
a,abtik,adj. foxy,cebuano,positive
a,abtik,adj. lively,cebuano,positive
a,abtik,adj. nimble,cebuano,positive
a,abtik,adj. quick,cebuano,positive
a,abtik,adj. vigorous,cebuano,positive
a,abtik og dila,fluent,cebuano,positive
a,abtikon,adj. vivacious,cebuano,positive
a,abtung,n. rope used for tying the plow to the crosstree.,cebuano,
a,abu,"n. 1. ashes; 2. see alabúhan; v. 1. make ashes. Abuha nang mga palwa ug gam-ang sabun, Make the palm stems into ashes to make soap out of. 2. be razed or burned to the ground. Pag-abut nákù naabu na ang balay, When I arrived, the house was already burned to the ground. ka-(←) v. get ashes all over one. Nagkaábu ku kay misum-uk ku sa nasunúgan, I got ashes all over me because I went into the burned-out area. alabúhan n. stove or any place a fire for cooking is built. abuhun n. ash-colored. Manuk nga abuhun, Gray-colored cock.",cebuano,negative
a,abuábu,n. kind of fish.,cebuano,
a,abubhoan,adj. jealous,cebuano,negative
a,ábud,n. kind of head louse lighter in color and with a longer and more slender body than the ordinary head louse (kútu).,cebuano,positive
a,ábud,n. ornamental bulbous plant: Eurycles amboinensis. The leaves are applied over the bladder to facilitate urination.,cebuano,positive
a,"abud, ábud","v. 1. throw grains, throw grains to. Ang bukbukung mais mauy iábud sa manuk, Throw the beetle-infested corn to the chickens; 2. drop grains into a hole in planting. Mag-abud sila sa ílang baul, They will plant their field; 3. feed grain into a mill. Ímu síging abdan (abúran) ang galingan, Keep feeding grains into the mill; 4. supply a factory with raw materials. Kanang kumpaniyáha mauy tig-abud sa mga papil sa imprinta, That company supplies paper to the printing press; 5. feed news, gossip. Aha! Ikaw diay nag-abud sa mga nutisya, So you were the one who spread the news! n. 1. feed for fowls; 2. one’s turn to throw grains. Ákù na rung abud, It’s my turn to feed (the chickens). alabdan see abud, n 2.",cebuano,
a,abug,"n. dust; v. 1. become dusty. Muabug ang karsáda ug dúgayng uwanun, The road gets dusty if the rains come late. Giabug ang ámung balay kay dúgay na nga wà puy-i, Our house became all dusty because it hadn’t been lived in for a long time. Tabúni ang libru arun dílì maabugan, Cover the books so they won’t get dusty; 2. turn into dust. Sa kadugáyan kitang tanan maabug, In the end we will all turn to dust. ka-(←) v. get dust all over it. Nagkaábug ang ákung buhuk tungud sa byáhi, My hair is all covered with dust because I’ve just gotten off the bus. -un a. dusty. -l-an(←) exposed to dust. Kining kwartúha alabúgan. Duul man gud sa karsáda, This room is exposed to dust. It’s close to the street.",cebuano,negative
a,ábug,see abyug.,cebuano,negative
a,ábug,"v. 1. chase, drive, drive away. Abúga ang bábuy ngadtu sa tangkal, Drive the pig into the pen. Abúgi sa lángaw ang lamísa, Drive the flies away from the table; 2. drive someone to do something Ang kaúlaw mauy nag-ábug kanákù pagpaháwà sa ámung lungsud, Shame drove me to move out of town. (→) n. stick with strips of paper, plastic, etc., attached on one end, used to chase flies away. -an(→) n. an enclosure of the fish corral into which the fish are driven before being caught.",cebuano,negative
a,abugáda,n. female lawyer.,cebuano,
a,abugádu,"n. lawyer; v. 1. be, become a lawyer; 2. speak for someone Abugadúhan ta lang ka kay wà kay pangabla, I’ll speak for you because you don’t have the knack of saying what you want. abugaduhun a. lawyer-like. Abugaduhung pangatarúngan, Lawyer-like reasoning.",cebuano,
a,abugágu,n. dumb lawyer (play on the words abugádu ‘lawyer’ and gágu ‘stupid’).,cebuano,negative
a,abugar,"see abugádu, v 2.",cebuano,
a,abugasíya,"n. 1. law course; 2. law profession. Sa abugasíya kinahanglan mamakak ug panalagsa, In the law profession it is necessary to lie once in a while.",cebuano,negative
a,"abughu, abughù",see *abubhu.,cebuano,
a,abugon,dusty,cebuano,negative
a,abuhan,fireplace; kitchen,cebuano,
a,abuhan,n. kitchen,cebuano,
a,abuhon,adj. gray,cebuano,
a,abukádu,n. avocado or alligator pear: Persea sp. It is usually eaten with sugar and milk.,cebuano,
a,abúkay,"n. kind of white cockatoo, often kept as pet: Cacatua haematuropygia. (→), abúkay v. for babies to make noises like a cockatoo.",cebuano,negative
a,abukay,n. parrot,cebuano,
a,abunansiya,see abunda.,cebuano,
a,abunda,"a. 1. abundant. Abunda ang bugas karun, There’s plenty of rice now; 2. have plenty. Ug abunda ka sa sápì, mamalit kag yútà, If you have lots of money, you should buy land; v. be, become abundant. Unyà ra ta mamalit ug mangga ug muabunda (maabunda) na, We will buy mangoes later when they become abundant; n. abundance.",cebuano,positive
a,abunda,abundant,cebuano,positive
a,abunda,n. abundance,cebuano,positive
a,abundansiya,see abunda.,cebuano,
a,ábung,"v. bar, block the way. Abúngan ta ning karsádag dakung batu, Let’s block the road with a big stone; n. kind of fishing equipment consisting of dried coconut leaves tied to a raft. (→) n. something which blocks the way. Ang káhuy nga abung sa pultahan, The wood that was blocking the door; a. in the path of the wind, smoke, smells, and the like. Abung sa hángin, Exposed to the wind. Abung ka kaáyu sa íyang dautang tingúhà, You are very much exposed to his evil powers. pa-(→), pa- v. 1. put in an exposed position. Ug magpaabung ka sa sílit sa túbig, mahumud ka, If you put yourself in the path of a jet of water, you’ll get wet. Paabungig asu ang mangga, (Make the fire so that) the mango tree will be in the path of the smoke; n. kind of fishing whereby a net is set across the path of a fish; 2. give allowance in measuring something Paabungan ug diyútay ang sukud ígù pagsipilya, Measure it with a little allowance for planing. Mutíru gánì kag langgam nga naglupad paabungig diyútay, If you shoot at a flying bird, aim a little ahead. paN- v. do something in anticipation of a favor or reward. Buútan nà siya run kay nangábung man nga hitagaan ug diyis, He’s obedient this time because he’s anticipating getting a dime; n. preparation of oil and plants medicinal roots and herbs used as a protection against some evil.",cebuano,negative
a,abungaw,"n. kind of tiny, light brown insect which swarms over food and the like, similar in appearance to a fly; v. be infested with abungaw.",cebuano,negative
a,abungaw,see bungaw.,cebuano,negative
a,abuno,compost,cebuano,positive
a,abuno,subsidize,cebuano,positive
a,abúnu,"n. 1. fertilizer; 2. transfusion or infusion. Nagkinahanglan siyag abúnu kay gisulgan sa dugù, He needs a transfusion because he lost a lot of blood; v. 1. put fertilizer on. Abunúhi ang rúsas, Put fertilizer on the roses; 2. give a transfusion or infusion; 3. supplement, fill in. Ikaw bay mag-abúnu sa kúlang? Will you make up the lack? Ang gísu mauy iabúnu sa batsi, They use limestone to fill the rough spots in the road.",cebuano,negative
a,aburídu,"a. — ang úlu, pangísip, etc. be upset, irritable; v. be upset. Kadtung ímung tahù nakaaburídu (nakapaaburídu) sa ákung úlu, Your news got me all upset.",cebuano,negative
a,abusáda,see abusádu (female).,cebuano,
a,abusádu,"a. tending to take advantage, infringe on rights. Abusádu ang mga kutsíru dinhi. Basta muulan, pabayrun ta nílag dubli, The rig drivers are abusive. If it rains, they double the fare. Nagníwang lang nà siya kay abusádu man gud sa íyang láwas, He is thin because he neglects his body; v. become abusive.",cebuano,negative
